sira,sure,ayet,metin,hoca
109,2,102,"These are the same people who used to practice black magic. The Satan had convinced them that the greatness of the Solomon’s kingdom was due to such practices! Solomon, in fact, was never involved in these types of activities as he was a believer. The Satan’s army [who practiced such things], however, belonged to the camp of the disbelievers. The tatters were enchanted by the knowledge of the two Angels known as Haroot and Maroot who were sent to the Babylon. These two, however, would always teach the art of the black magic with the following warning: ""The possession of this trial is only meant for your trial (to see how you will use it.)"" People, instead, used their knowledge to cast a spell between husbands and wives leading to their separation. The sorcerers, naturally, could not harm anyone without the permission of God [some miseries in life is meant by God to make man stronger.] What they learned, however, did not profit them. Besides, they knew well [before selling their souls to Satan] that the sorcery will ruin their Hereafter. If they knew what price they are paying for their fascination with magic.",Bijan Moeinian
110,2,103,"Had they believed in God and adapted a God pleasing way of life, they would have received much better reward from the Lord. If they only knew it.",Bijan Moeinian
111,2,104,"O’ believers, do not call the Prophet by the names which may be misinterpreted. Know that the disbelievers have to face an awful punishment.",Bijan Moeinian
112,2,105,"The idol worshippers, as well as the Christians and the Jews alike, resent (among other things, out of jealousy) to see that something good (Qur’an) is being sent to you (and not to them) from the Lord. The choice, however, is the Lord’s; He is the One Who decides to shed his grace upon whoever He chooses (naturally based upon the merit of the recipient.)",Bijan Moeinian
113,2,106,"If God abolish an existing law of His [perhaps in account of not serving the time and purpose any more], He will replace it with another one which is more appropriate for you. Do you not know that God has control over everything [and may change His own laws at will]?",Bijan Moeinian
114,2,107,Do you not know that the Kingdom of the heavens and the earth belongs to the Lord and you do not have any master or helper beside Him?,Bijan Moeinian
115,2,108,"Why do you argue with your Prophet [instead of just obeying the Lord’s orders] the same way that Moses was being disputed (the best example being the incident of sacrificing a caw which this chapter is named after) in his time. ? The believers who follow the disbelievers’ tradition, will end up in the wrong path.",Bijan Moeinian
116,2,109,"Many followers of the Scriptures (out of envy) want to turn you (Mohammad) back to the disbelief (by involving you in lengthy discussions, arguments and disputes), in spite of the fact that they know well how truthful you are. You should be patient with them and forgive them and leave them to God for judging them in an appropriate time. Know that God is capable of doing everything.",Bijan Moeinian
117,2,110,Worship God on regular basis and engage in charity. You will find your good deeds being recorded by God for a reward in Hereafter. God is watching over whatever you do.,Bijan Moeinian
118,2,111,"They (the followers of the Scriptures) say: ""Only the Jews and Christians will enter Paradise. "" They simply dream on. Ask them: “On what basis do you make such a statement? Show us your proof, if you are truthful.”",Bijan Moeinian
119,2,112,"The fact of the matter is, whoever sincerely submits himself to the will of God and leads a righteous life will end up in Paradise. Such a person neither fears nor grieves (for the loss of their life in vain.)",Bijan Moeinian
120,2,113,"The Jews say: ""The Christians do not know the truth. "" The Christians say: “The Jews do not know the truth.” [The funny thing is that] both of them read the [same] Scripture. The others, too, make similar claims. All these dispute will be solved in the Day of Judgment when the Lord points them where they were wrong.",Bijan Moeinian
121,2,114,"Who is more unjust that those (the idol worshippers of Mecca) who prevent the believers to mention the name of God in places devoted to His worship (like in Mecca which is built by Abraham for the purpose of worshipping the Lord. ) such people do not deserve to enter there. If they enter there at all, they should not feel safe. There is nothing but misery for them in this world and an awful punishment is waiting for them in the Hereafter.",Bijan Moeinian
122,2,115,"East or West, all belongs to God. No matter where you turn your face, God is there (therefore do not engage in a dispute about why Mecca is appointed as the direction of prayer.) Know that God is present every where and is the most knowledgeable (so obey Him and say your prayers toward the oldest place designated to the worship of God, i.e. Mecca.)",Bijan Moeinian
123,2,116,"They say: ""God has adopted a son. "" Shame on them. God is above such things. As a matter of fact, everything in the heavens and earth belongs to him and are submissive to Him. (See John 5:18-that Jesus refutes the claim that he is equal to God. in 5-he says: I can do nothing of my own...)",Bijan Moeinian
124,2,117,"God is the originator of the heavens and the earth. When He decides something to be created, He simply says: ""Be"" and there it is.",Bijan Moeinian
125,2,118,"Those who are not aware [of their physical/ mental shortcomings] say: ""Why God does not talk to us directly; why do we not get any revelation?"" People before them, with the same kind of mentality, used to ask similar questions. The fact of the matter is, the Lord’s signs are already available to the believers (the best example of such signs is this Qur’an which is in front of you.)",Bijan Moeinian
126,2,119,"The fact of the matter is, you (Mohammad) have been chosen to relay the good news (that the death is not the end and rather the beginning of the real life) and to warn the people (that the failure in the school of life will ruin one’s real life in Hereafter. ) You will certainly not be held responsible for the behavior of those who will end up in the Fire (as your only mission is to relay the message.)",Bijan Moeinian
127,2,120,"Know that the Jews and the Christian will not be satisfied with you unless you accept their system of beliefs. let them know that: ""There is only one reliable guidance: the guidance of God."" If you (Mohammad or anybody) follow their way of life (after being exposed to the God pleasing way of life), then you will find no one in the entire universe to protect you from [the punishment of] the Lord.",Bijan Moeinian
128,2,121,"When the people, to whom the Scripture is given, read the Qur’an (the way that it should be read [objectively with no pre-judgments]) they believe in it. Those who choose to disregard it should know that they are simply the losers.",Bijan Moeinian
129,2,122,"Now the children of Israel, remember my favor to you when I made you the most favored nation.",Bijan Moeinian
130,2,123,"Be mindful of a Day when no soul will care about the other soul, no ransom will be accepted from any one, no one’s intercession will be helpful and no one will find any help whatsoever.",Bijan Moeinian
131,2,124,"Recall when [your first leader] Abraham successfully passed My tests and I told him: ""Now I will make you the leader of all nations. "" Abraham asked: “Will my heirs inherit this favor?” I said: “Not those who choose to be unjust.”",Bijan Moeinian
132,2,125,"Recall when I made Mecca a secure city for the assembly of the believers and ordered them to worship God where Abraham was used to do so. I asked Abraham and Ishmael to keep that house of the worship pure for the pilgrims who would circle it, retire to it for the prayer and bow down and prostrate (to humble themselves toward the Lord) in worship.",Bijan Moeinian
133,2,126,"Then Abraham prayed: ""O Lord, bless this city with peace and security and provide its citizens, who believe in God and the Hereafter, with every kind of fruit. "" [Accepting his prayer] I said: “I will also be generous to its disbelievers in this world but I will drag them to the Hell in Hereafter; indeed a miserable place to end up in.”",Bijan Moeinian
134,2,127,"As Abraham and Ishmael were raising the foundation of the Mosque, they prayed: ""Our Lord, please accept this act of ours [which is meant to please you. ] We bear witness that you hear everything [including this prayer] and you know about everything [including our sincerity in this act.]",Bijan Moeinian
135,2,128,"[Then they continued saying: ] ""Our Lord, make us your Muslims (Submitters. ) Also kindly extend this favor to our heirs of the generations to come. Show us the most pleasing to You way of worshipping You. Forgive our shortcomings as you are the Most Forgiving, the Most Merciful.""",Bijan Moeinian
136,2,129,"""Our Lord, kindly appoint one of them as your messenger so that he relays your messages to them, teach them your book and wisdom and to purify them. O You, the Most High, the Most Wise.",Bijan Moeinian
137,2,130,Who else of Abraham’s nation can choose an alternative way of life except the one who has reduced himself to the level of a fool or an ignorant? I (God) chose him to serve me in this world and he will be among the righteous ones in the Hereafter.,Bijan Moeinian
138,2,131,"When Abraham’s Lord said to him: ""Be a Muslim (submit yourself. )"", he replied: “I am now a Muslim (Submitter) to the Lord of the worlds.”",Bijan Moeinian
139,2,132,"Abraham invited his children (Ishmael and Isaac) to the same way of life. So did Jacob (his grand son.) Jacob’s last will to his children was: ""God has chosen this way of life for you; therefore, do not die unless in the state of Islam (submission to God.)",Bijan Moeinian
140,2,133,"You (Mohammad/ Muslims) were not present at the death bead of Jacob when he asked his children: ""Who will you worship after me? “ They replied : “We will worship none but your God; the Lord of our forefathers: Abraham, Ishmael and Isaac. He is the only God and to Whom we submit ourselves [and trust.]""",Bijan Moeinian
141,2,134,"They were a people of another time, responsible for their deeds. You will be responsible for your deeds and be rewarded accordingly with no reference whatsoever to them.",Bijan Moeinian
142,2,135,"They (Jews & Christians) say: ""Choose Judaism or Christianity and you will get the true guidance. "" Say: “No way; we resent any alternative way except the way of Abraham who did not worship none but the Lord.”",Bijan Moeinian
143,2,136,"[O Muslims, ] Say: ""We believe in God and whatever He has revealed to us and to Abraham, Ishmael, Isaac, Jacob and the Tribes (Patriarchs. ) We believe in what was (and unfortunately is not available in its entirety) revealed to Moses, Jesus and other Prophets. We do not discriminate among any of them. We have completely surrendered ourselves to God as Muslims (Submitters.)",Bijan Moeinian
144,2,137,"If they believe, the way you have believed, indeed they will be in the right path. If they turn away from (God pleasing way of life), then they are in opposition. Rest assured that the reliance upon God suffice for your protection against them; after all, God Hears everything [that they say] and knows everything [that they do or going to do.]",Bijan Moeinian
145,2,138,"Say: ""Baptize yourself by emerging in the way of God. After all, what baptism can be better than baptism of God. As to us, we worship only God and submit to Him alone.""",Bijan Moeinian
146,2,139,"Say: ""We are talking about the same God. Why then you dispute with us [instead of obeying Him?] We will be accountable for our deeds and you for yours; [knowing this, ] we have chosen to sincerely submit ourselves to Him.",Bijan Moeinian
147,2,140,"Do you want to say that Abraham, Ishmael, Isaac, Jacob and their children were carrying the title of Jew or Christian? Ask them: ""Do you want to say that you know more than God?"" Come to think about it, who can be more unjust than [your theologians] who hides the words of God? Know that God is not unaware of what you are doing.",Bijan Moeinian
148,2,141,"They were a people of another time, responsible for their deeds. You will be responsible for your deeds and be rewarded accordingly with no reference whatsoever to them.",Bijan Moeinian
149,2,142,"Foolish people will say: ""How come they were praying towards Jerusalem and now suddenly they changed their direction towards Mecca? Let them know: “East or west belongs to God and He is the One Who shows the way to be followed to those who He is pleased with. """,Bijan Moeinian
