Sıra,Sure,Ayet,Metin,Hoca
34,2,27,(26-27) Allah sivrisineği ve onun üstününü misal olarak vermekten çekinmez. İnananlar,Diyanet 1961
35,2,28,"Ölü idiniz sizleri diriltti, sonra öldürecek sonra tekrar diriltecek ve sonunda O'na",Diyanet 1961
36,2,29,"Yerde olanların hepsini; sizin için yaratan O’dur. Sonra, göğe doğru yönelerek yedi gök",Diyanet 1961
37,2,30,"Rabbin meleklere 'Ben yeryüzünde bir halife var edeceğim’ demişti; melekler, 'Orada",Diyanet 1961
38,2,31,"Ve Adem’e bütün isimleri öğretti, sonra eşyayı meleklere gösterdi. 'Eğer sözünüzde samimi",Diyanet 1961
39,2,32,"Cevap verdiler: 'Sen münezzehsin, öğrettiğinden başka bizim bir bilgimiz yoktur. Şüphesiz",Diyanet 1961
40,2,33,"Allah 'Ey Adem onlara isimlerini söyle’ dedi. Adem isimlerini söyleyince, Allah 'Ben gökler",Diyanet 1961
41,2,34,"Meleklere, 'Adem’e secde edin’ demiştik, İblis müstesna hepsi secde ettiler, o ise kaçındı,",Diyanet 1961
42,2,35,"'Ey Adem! Eşin ve sen cennette kal, orada olandan istediğiniz yerde bol bol yiyin, yalnız şu",Diyanet 1961
43,2,36,"Şeytan oradan ikisinin de ayağını kaydırttı, onları bulundukları yerden çıkardı, onlara",Diyanet 1961
44,2,37,"Adem, Rabbi’nden emirler aldı; onları yerine getirdi. Rabb’i de bunun üzerine tevbesini",Diyanet 1961
45,2,38,"'İnin oradan hepiniz, tarafımdan size bir yol gösteren gelecektir; Benim yoluma uyanlar için",Diyanet 1961
46,2,39,"İnkar eden kimseler ve ayetlerimizi yalan sayanlar cehennemlik olanlardır, onlar orada",Diyanet 1961
47,2,40,Ey îsrailoğulları! Size verdiğim nimeti hatırlayın ve ahdimi yerine getirin ki Ben de yerine,Diyanet 1961
48,2,41,"Yanınızdaki Tevrat'ı tasdik ederek indirdiğim Kuran'a, inanın; onu ilk inkar edenler siz",Diyanet 1961
49,2,42,Hakkı batıla karıştırmayın ve bile bile ha kk ı gizlemeyin.,Diyanet 1961
50,2,43,"Namazı kılın, zekatı verin, rüku edenlerle birlikte rüku edin.",Diyanet 1961
51,2,44,Kitap’ı okuyup durduğunuz halde kendinizi unutur da başkalarına mı iyilikle emredersiniz?,Diyanet 1961
52,2,45,(45-46) Sabır ve namazla Allah’a sığınıp yardım isteyin; Rablerine kavuşacaklarını ve Ona,Diyanet 1961
53,2,46,(45-46) Sabır ve namazla Allah’a sığınıp yardım isteyin; Rablerine kavuşacaklarını ve Ona,Diyanet 1961
54,2,47,Ey îsrailoğulları! Size verdiğim nimeti ve sizi bir zamanlar alemlere üstün kıldığımı,Diyanet 1961
55,2,48,"Kimsenin kimseden faydalanamayacağı, kimseden bir şefaat kabul edilmeyeceği, kimseden",Diyanet 1961
56,2,49,"Size işkence eden, kadınlarınızı sağ bırakıp oğullarınızı boğazlayan Firavun ailesinden sizi",Diyanet 1961
57,2,50,Denizi yarıp sizi kurtannış ve gözlerinizin önünde Firavun ailesini batırmıştık.,Diyanet 1961
58,2,51,"Musa'ya kırk gece vade vermiştik. Sonra onun arkasından, kendinize yazık ederek, buzağıyı",Diyanet 1961
59,2,52,"Sonra bunun ardından, şükredersiniz diye, sizi bağışlamıştık.",Diyanet 1961
60,2,53,Doğru yola gidesiniz diye Musa'ya ha kk ı batıldan ayıran Kitabı vermiştik.,Diyanet 1961
61,2,54,Musa milletine 'Ey milletim! Buzağıyı tanrı olarak benimsemekle kendinize yazık ettiniz.,Diyanet 1961
62,2,55,'Ya Musa! Allah'ı apaçık gönnedikçe sana inanmayacağız' demiştiniz de gözleriniz göre göre,Diyanet 1961
63,2,56,"Ölümünüzden sonra, şükredesiniz diye sizi tekrar diriltmiştik.",Diyanet 1961
64,2,57,"Bulutla sizi gölgelendirdik, kudret helvası ve bıldırcın indirdik, 'Verdiğimiz azıkların iyi ve",Diyanet 1961
65,2,58,"'Şu şehre girin, orada dilediğiniz gibi, bol bol yiyin, secde ederek kapısından girin, 'bağışla!'",Diyanet 1961
66,2,59,"Ama zulmedenler, kendilerine söylenmiş olan sözü başka sözle değiştirdiler. Biz de,",Diyanet 1961
67,2,60,"Musa, milleti için su aramıştı; 'Asanla taşa vur' dedik; ondan on iki pınar fışkırdı, herkes",Diyanet 1961
68,2,61,"'Ey Musa! Bir çeşit yemeğe dayanamayacağız, bizim için Rabbine yalvar, bize, yerin",Diyanet 1961
69,2,62,"Şüphesiz, inananlar, Yahudi olanlar, Hıristiyanlar ve Sabiilerden Allah'a ve ahiret gününe",Diyanet 1961
70,2,63,Sizden kesin söz almıştık. Tur dağını yükselterek tepenize dikmiştik. 'Allah'a karşı,Diyanet 1961
71,2,64,"Bundan sonra yine yüz çevirdiniz; eğer Allah’ın size bol nimeti ve merhameti olmasaydı,",Diyanet 1961
72,2,65,(65-66) İçinizden cumartesi günü azgınlık edenleri elbette biliyorsunuz. Onlara 'Aşağılık,Diyanet 1961
73,2,66,(65-66) İçinizden cumartesi günü azgınlık edenleri elbette biliyorsunuz. Onlara 'Aşağılık,Diyanet 1961
74,2,67,Musa milletine: 'Allah muhakkak bir sığır boğazlamanızı buyuruyor’ demişti; 'Bizi alaya mı,Diyanet 1961
75,2,68,"'Rabbine bizim adımıza yalvar da onun mahiyetini bize bildirsin’ dediler, ’O, onun ne pek",Diyanet 1961
76,2,69,"'Rabbine bizim adımıza yalvar da ne re nk olduğunu bize bildirsin’ dediler. ’O, onun,",Diyanet 1961
77,2,70,"'Rabbine bizim adımıza yalvar da, mahiyetini bize bildirsin, çünkü sığırlar, bizce, birbirine",Diyanet 1961
78,2,71,"'Yeri sürüp, ekini sulayarak boyunduruk altında ezilmemiş, kusursuz, alacasız bir sığır",Diyanet 1961
79,2,72,Siz bir kimseyi öldürmüş ve bunu birbirinize atmıştınız; oysa Allah gizlemekte olduğunuzu,Diyanet 1961
80,2,73,'Sığırın bir parçasıyla ona vurun' dedik. İşte böylece Allah ölüleri diriltir ve aklınızı,Diyanet 1961
81,2,74,"Sonra kalbleriniz yine katılaştı, taş gibi, hatta daha da katı oldu. Nitekim taşlar arasında",Diyanet 1961
82,2,75,"Size inanacaklarını umuyor musunuz? Oysa onlardan bir takımı Allah’ın sözünü işitiyor, ona",Diyanet 1961
83,2,76,"İnananlarla karşılaştıkları zaman, 'İnandık' derlerdi; birbirleriyle yalnız kaldıklarında,",Diyanet 1961
84,2,77,"Gizlediklerini de, açıkladıklarını da Allah’ın bildiğini bilmiyorlar mı?",Diyanet 1961
85,2,78,Onların bir kısmının okuyup yazması yoktu. Kitab’ı bilmezlerdi; bildikleri sadece bir takım,Diyanet 1961
86,2,79,"Vay, Kitabı elleriyle yazıp, sonra da onu az bir değere satmak için, 'Bu Allah katındandır’",Diyanet 1961
87,2,80,"'Ateş bize sadece sayılı birkaç gün değecektir', derler; sor, 'Allah katından siz söz mü",Diyanet 1961
88,2,81,Hayır öyle değil; kötülük işleyip suçu kendisini kuşatmış olan kimseler; cehennemlikler işte,Diyanet 1961
89,2,82,"İnanıp yararlı işler yapan kimseler cennetlik olanlardır, onlar da orada temellidirler.",Diyanet 1961
90,2,83,"İsrailoğullarından, 'Allah'tan başkasına kulluk etmeyin, anne babaya, yakınlara, yetimlere,",Diyanet 1961
91,2,84,"Kanınızı dökmeyin, birbirinizi yurdunuzdan sürmeyin diye sizden söz almıştık, sonra bunu",Diyanet 1961
92,2,85,"Sonra siz, birbirinizi öldüren, aranızdan bir takımı memleketlerinden süren, onlara karşı",Diyanet 1961
93,2,86,"Onlar ahiret karşılığında dünya hayatını satın alan kimselerdir, bu yüzden azabları",Diyanet 1961
94,2,87,"And olsun ki, Musa'ya kitap verdik, ondan sonra ardarda peygamberler gönderdik. Meryem",Diyanet 1961
95,2,88,"'Kalplerimiz perdelidir’ dediler, hayır, Allah inkarlarından dolayı onları lanetlemiştir. Onların",Diyanet 1961
96,2,89,"Vaktaki Allah katından onlara, kendilerinde olanı tasdik eden Kitap geldi ki onlar bundan",Diyanet 1961
97,2,90,"Allah’ın kullarından dilediğine, bol ihsanından indirmesini çekemeyerek, Allah’ın indirdiğini",Diyanet 1961
98,2,91,"Onlara, 'Allah’ın indirdiğine inanın’ denildiğinde 'Bize indirilene inanırız’ deyip ondan sonra",Diyanet 1961
99,2,92,"And olsun ki, Musa size mucizeler getirdi, sonra ardından kendinize yazık ederek buzağıyı",Diyanet 1961
100,2,93,"Sizden kesin söz almış ve Tur'u tepenize dikmiştik, 'Size verdiğimize kuvvetle sarılın ve",Diyanet 1961
101,2,94,"De ki, 'Eğer ahiret yurdu Allah katında başkalarına değil de yalnız size mahsus ise ve eğer",Diyanet 1961
102,2,95,"Bunu, önceden işlediklerinden ötürü, asla ödemeyeceklerdir. Allah zalimleri bilir.",Diyanet 1961
103,2,96,"And olsun ki, onların hayata diğer insanlardan ve hatta Allah’a eş koşanlardan da daha",Diyanet 1961
104,2,97,"De ki, 'Cebrail’e düşman olan kimse Allah’a düşmandır’, çünkü O, Kuran'ı Allah’ın izniyle",Diyanet 1961
105,2,98,"Allah'a, meleklerine, peygamberlerine, Cebrail’e ve Mikail’e düşman olan kimse inkar etmiş",Diyanet 1961
106,2,99,"And olsun ki, sana apaçık ayetler indirdik. Onları sadece yoldan çıkmışlar inkar eder.",Diyanet 1961
107,2,100,"Onlar, her ne zaman bir ahidde bulunmuşlarsa içlerinden bir takımı onu bozmamış mıdır?",Diyanet 1961
108,2,101,"Yanlarındakini doğrulayan bir Peygamber, Allah katından onlara gelince Kitap verilenlerden",Diyanet 1961
109,2,102,Şeytanların Süleyman’ın hükümdarlığı hakkında söylediklerine uydular. Oysa Süleyman,Diyanet 1961
110,2,103,"Onlar inanıp, Allah’a karşı gelmekten sakınsalardı, Allah katından olan sevab daha hayırlı",Diyanet 1961
111,2,104,"Ey inananlar! Peygamber’e, 'Bizi de dinle' (raina; kötü anlama gelebilecek söz) demeyin,",Diyanet 1961
112,2,105,"Kitap ehlinden ve Allah'a eş koşanlardan inkar edenler, Rabbinizden size bir iyilik gelmesini",Diyanet 1961
113,2,106,"Herhangi bir ayetin hükmünü yürürlükten kaldırır veya unutturursak, onun yerine daha",Diyanet 1961
114,2,107,Göklerin ve yerin Hükümdarlığının Allah’a aid olduğunu bilmez misin? Allah'tan başka dost,Diyanet 1961
115,2,108,"Yoksa, daha önce Musa’nın sorguya çekildiği gibi, siz de peygamberinizi sorguya mı çekmek",Diyanet 1961
116,2,109,"Kitap ehlinin çoğu, hak kendilerine apaçık belli olduktan sonra, içlerindeki çekememezlikten",Diyanet 1961
117,2,110,"Namazı kılın, zekatı verin, kendiniz için önden gönderdiğiniz her hayrı Allah katında",Diyanet 1961
118,2,111,'Yahudi veya Hıristiyan olmayan kimse elbette cennete girmeyecek' dediler; bu onların,Diyanet 1961
119,2,112,"Hayır, öyle değil; iyilik yaparak kendini Allah’a veren kimsenin ecri Rabbi’nin katindadır.",Diyanet 1961
120,2,113,"Yahudiler ’Hıristiyanlar bir temel üzerinde değil' dediler, Hıristiyanlar da 'Yahudiler bir",Diyanet 1961
121,2,114,Allah’ın mescidlerinde O’nun isminin anılmasını yasak eden ve oraların yıkılmasına çalışan,Diyanet 1961
122,2,115,"Doğu da batı da Allah'ındır, nereye dönerseni z Allah’ın yönü orasıdır. Doğrusu Allah her yeri",Diyanet 1961
123,2,116,"'Allah oğul edindi’ dediler; haşa, oysa, göklerde ve yerde olanlar O’nundur. Hepsi O’na",Diyanet 1961
124,2,117,"Gökleri ve yeri yoktan var eden Allah’tır. O, bir işin olmasını dilerse, ona ancak 'ol' der ve",Diyanet 1961
125,2,118,Bilmeyenler: 'Allah bizimle konuşmalı veya bize bir ayet gelmeli değil miydi?’ dediler.,Diyanet 1961
126,2,119,"Doğrusu Biz, seni hak ile, müjdeci ve uyarıcı olarak göndennişizdir. Sen, cehennemliklerden",Diyanet 1961
127,2,120,"Kendi dinlerine uymadıkça, Yahudi ve Hıristiyanlar senden asla hoşnud olmayacaklardır. De",Diyanet 1961
128,2,121,"Kendilerine verdiğimiz Kitabı gereğince okuyanlar var ya, işte ona ancak onlar inanırlar.",Diyanet 1961
129,2,122,Ey îsrailoğulları! Size verdiğim nimeti ve sizi bir zamanlar alemlere üstün tuttuğumu,Diyanet 1961
130,2,123,"Kimsenin kimse namına bir şey ödemeyeceği, hiç kimseden fidye alınmayacağı, kimseye",Diyanet 1961
131,2,124,"Rabbi İbrahim'i bir takım emirlerle denemiş, o da onları yerine getinnişti. Allah, 'seni",Diyanet 1961
132,2,125,"Kabeyi, insanlar için toplanma ve güven yeri kılmıştık. İbrahim’in makamını namaz yeri",Diyanet 1961
133,2,126,"İbrahim: ’Rabbim! Burasını emin bir şehir kıl, halkından, Allah'a ve ahiret gününe inananları",Diyanet 1961
134,2,127,"İbrahim ve İsmail, Kabenin temellerini yükseltiyordu: ’Rabbimiz! Yaptığımızı kabul buyur.",Diyanet 1961
135,2,128,"’Rabbimiz! İkimizi Sana teslim olanlardan kıl, soyumuzdan da Sana teslim olanlardan bir",Diyanet 1961
136,2,129,"’Rabbimiz! İçlerinden onlara Senin ayetlerini okuyan, Kitabı ve hikmeti öğreten, onları her",Diyanet 1961
137,2,130,"Kendini bilmezden başkası İbrahim’in dininden yüz çevinnez. And olsun ki, dünyada onu",Diyanet 1961
138,2,131,"Rabbi ona: 'Teslim ol' buyurduğunda, 'Alemlerin Rabbine teslim oldum' demişti.",Diyanet 1961
139,2,132,"İbrahim bunu oğullarına vasiyet etti. Yakub da: 'Oğullarım! Allah dini size seçti, siz de ancak",Diyanet 1961
140,2,133,"Yoksa Yakub can verirken sizler yanında mı idiniz? O, oğullarına: 'Benden sonra kime",Diyanet 1961
141,2,134,"Onlar geçmiş birer ümmettir. Kazandıkları kendilerine, sizin kazandıklarınız da sizedir.",Diyanet 1961
142,2,135,'Yahudi veya Hıristiyan olun ki doğru yolu bulasınız' dediler. 'Doğruya yönelmiş olan ve,Diyanet 1961
143,2,136,"'Allah'a, bize gönderilene, İbrahim’e, İsmail’e, İshak'a, Yakub'a ve torunlarına gönderilene,",Diyanet 1961
144,2,137,"Sizin inandığınız gibi inanmış olsalar, doğru yolu bulmuş olurlar. Yüz çevirirlerse, şüphesiz",Diyanet 1961
145,2,138,Allah’ın verdiği renge uyun; rengi Allah’ınkinden daha güzel olan kim vardır? 'Biz O’na,Diyanet 1961
146,2,139,De ki: 'Bizim ve sizin Rabbiniz olan Allah hakkında bize karşı hüccet mi gösteriyorsunuz?,Diyanet 1961
147,2,140,"Yoksa İbrahim, İsmail, İshak, Yakub ve torunlarının Yahudi veya Hıristiyan olduklarını mı",Diyanet 1961
148,2,141,"Onlar geçmiş birer ümmettir. Kazandıkları kendilerine, sizin kazandıklarınız da sizedir.",Diyanet 1961
149,2,142,"İnsanların beyinsizleri, 'Yöneldikleri kıbleden onları çeviren nedir?’ diyecekler; de ki: 'Doğu",Diyanet 1961
150,2,143,Böylece sizi insanlara şahid ve örnek olmanız için tam ortada bulunan bir ümmet kıldık.,Diyanet 1961
151,2,144,Yüzünü göğe çevirip durduğunu görüyoruz. Hoşnud olacağın kıbleye seni elbette,Diyanet 1961
152,2,145,"Sen, Kitap verilenlere her türlü delili getirsen, yine de kıblene uymazlar; sen de onların",Diyanet 1961
153,2,146,"Kendilerine Kitap verdiklerimiz, onu (peygamberi) oğullarını tanıdıkları gibi tanırlar.",Diyanet 1961
154,2,147,"Gerçek Rabb’indendir, sakın şüphelenenlerden olma.",Diyanet 1961
155,2,148,Herkesin yöneldiği bir yön vardır. Hayırlı işlerde birbirinizle yarışın. Nerede olursanız olun,Diyanet 1961
156,2,149,"Her nereden yola çıkarsan, yüzünü Mescid-i Haram semtine çevir, şüphesiz bu Rabbinden",Diyanet 1961
157,2,150,"Her nereden çıkarsan, yüzünü Mescid-i Haram semtine çevir. İnsanların zulmedenlerinden",Diyanet 1961
158,2,151,"Nitekim Biz size, ayetlerimizi okuyacak, sizi her kötülükten arıtacak, size kitabı ve hikmeti",Diyanet 1961
159,2,152,"Artık Beni anın, Ben de sizi anayım; Bana şükredin, nankörlük etmeyin.",Diyanet 1961
160,2,153,"Ey İnananlar! Sabır ve namazla yardım dileyin. Allah, muhakkak ki sabredenlerle beraberdir.",Diyanet 1961
161,2,154,"Allah yolunda öldürülenlere 'Ölüler' demeyin, zira onlar diridirler, fakat siz farkında",Diyanet 1961
162,2,155,"Muhakkak sizi biraz korku, biraz açlık ve mallardan, canlardan, ürünlerden biraz eksiltmekle",Diyanet 1961
163,2,156,Onlara bir musibet geldiğinde: 'Biz Allah’ını z ve elbette O’na döneceğiz' derler.,Diyanet 1961
164,2,157,Rablerinin mağfiret ve rahmeti onlaradır. O’nun yolunda olanlar da onlardır.,Diyanet 1961
165,2,158,Şüphesiz Safa ile Merve Allah’ın nişanelerindendir. Kim Kabe'yi hacceder veya umre,Diyanet 1961
166,2,159,"(159-160) İndirdiğimiz belgeleri ve doğru yolu Kitab’da insanlara açıkladıktan sonra,",Diyanet 1961
167,2,160,"(159-160) İndirdiğimiz belgeleri ve doğru yolu Kitab’da insanlara açıkladıktan sonra,",Diyanet 1961
168,2,161,"İnkar edip de o halde ölenler var ya, işte, Allah’ın, meleklerin, insanların hepsinin laneti",Diyanet 1961
169,2,162,"Lanette temellidirler, onlardan azab hafifletilmez ve onların azabı geciktirilmez.",Diyanet 1961
170,2,163,"Tanrınız bir tek Tanrıdır. O, merhamet eden, merhametli olandan başka Tanrı yoktur.",Diyanet 1961
171,2,164,"Göklerin ve yerin yaratılmasında, gece ile gündüzün birbiri ardınca gelmesinde, insanlara",Diyanet 1961
172,2,165,"İnsanlar arasında, Allah’ı bırakıp, O’na koştukları eşleri tanrı olarak benimseyenler ve onları,",Diyanet 1961
173,2,166,"Nitekim, kendilerine uyulanlar, azabı görünce uyanlardan uzaklaşacaklar ve aralarındaki",Diyanet 1961
174,2,167,"Uyanlar: 'Keşke bizim için dünyaya bir dönüş olsa da, bizden uzaklaştıkları gibi biz de",Diyanet 1961
175,2,168,"Ey İnsanlar! Yeryüzündeki temiz ve helal şeylerden yiyin, şeytana ayak uydurmayın, zira o",Diyanet 1961
176,2,169,"Muhakkak size, kötülüğü, hayasızlığı, Allah'a karşı da bilmediğiniz şeyi söylemenizi",Diyanet 1961
177,2,170,"Onlara: 'Allah’ın indirdiğine uyun' denilince, 'Hayır, atalarımızı yapar bulduğumuz şeye",Diyanet 1961
178,2,171,"İnkar edenlerin durumu, çağırma ve bağırmadan başkasını duymayarak haykıran gibidir.",Diyanet 1961
179,2,172,Ey İnananlar! Sizi rızıklandırdiğimizin temizlerinden yiyin; yalnız Allah’a kulluk,Diyanet 1961
180,2,173,"Şüphesiz size ölü hayvan etini, kanı, domuz etini, Allah'tan başkası için kesilen hayvanı",Diyanet 1961
181,2,174,"Gerçekten, Allah’ın indirdiği Kitap’tan bir şeyi gizlemede bulunup onu az bir değere",Diyanet 1961
182,2,175,"Onlar doğruluk yerine sapıklığı, mağfiret yerine azabı alanlardır.",Diyanet 1961
183,2,176,"Bu da, Allah’ın Kitab’ı doğru olarak indirmesinden ileri geliyor. Kitap hakkında ayrılığa",Diyanet 1961
184,2,177,Yüzlerinizi doğudan yana ve batıdan yana çevirmeniz iyi olmak demek değildir; Lâkin iyi,Diyanet 1961
185,2,178,"Ey İnananlar! Öldürülenler hakkında size kısas farz kılındı: Hür ile hür insan, köle ile köle",Diyanet 1961
186,2,179,"Ey akıl sahihleri! Kısasta sizin için hayat vardır. Artık, Allah'a karşı gelmekten sakınırsını z .",Diyanet 1961
187,2,180,"Birinize ölüm geldiği zaman, eğer mal bırakıyorsa, ana babaya, yakınlara, uygun bir tarzda",Diyanet 1961
188,2,181,"Vasiyeti işittikten sonra değiştiren olursa, bunun günahı değiştirenin üzerinedir. Allah",Diyanet 1961
189,2,182,"Vasiyet edenin yanılacağından veya günaha gireceğinden endişe duyan kimse, ilgililerin",Diyanet 1961
190,2,183,"(183-184) Ey İnananlar! Oruç, sizden öncekilere farz kılındığı gibi, Allah’a karşı gelmekten",Diyanet 1961
191,2,184,"(183-184) Ey İnananlar! Oruç, sizden öncekilere farz kılındığı gibi, Allah’a karşı gelmekten",Diyanet 1961
192,2,185,"Ramazan ayı, ki onda Kuran, insanlara yol gösterici ve doğruyu yanlıştan ayırıcı belgeler",Diyanet 1961
193,2,186,"Kullarım sana Beni sorarlarsa, bilsinler ki Ben, şüphesiz onlara yakınım. Benden isteyenin,",Diyanet 1961
194,2,187,"Oruç tuttuğunuz günlerin gecesi kadınlarınıza yaklaşmanız size helal kılındı, onlar sizin",Diyanet 1961
195,2,188,Aranızda mallarınızı haksızlıkla yemeyin; bildiğiniz halde günaha girerek insanların,Diyanet 1961
196,2,189,"Sana hilal halindeki ayları sorarlar. De ki: 'Onlar, insanların ve hac vakitlerinin ölçüsüdür'.",Diyanet 1961
197,2,190,"Sizinle savaşanlarla Allah yolunda savaşın, aşırı gitmeyin; doğrusu Allah aşırı gidenleri",Diyanet 1961
198,2,191,Onları bulduğunuz yerde öldürün. Sizi çıkardıkları yerden siz de onları çıkarın. Fitne,Diyanet 1961
199,2,192,Vazgeçerlerse onları bağışlayın; şüphesiz Allah bağışlar ve merhamet eder.,Diyanet 1961
200,2,193,"Fitne kalmayıp, yalnız Allah’ın dini ortada kalana kadar onlarla savaşın. Eğer vazgeçerlerse",Diyanet 1961
201,2,194,"Hürmetli ay, hürmetli aya mukabildir, hürmetler karşılıklıdır; o halde, size tecavüz edene",Diyanet 1961
202,2,195,"Allah yolunda sarf edin, kendinizi kendi elinizle tehlikeye atmayın, işlerinizi iyi yapın.",Diyanet 1961
203,2,196,"Başladığınız hac ve umreyi Allah için tamamlayın. Alıkonursanız, kolayınıza gelen bir",Diyanet 1961
204,2,197,"Hac bilinen aylardadır. O aylarda hacca girişen kimse bilmelidir ki, hacda kadına yaklaşmak,",Diyanet 1961
205,2,198,"Rabbiniz'den refah istemeni z de bir engel yoktur. Arafat'tan indiğinizde, Allah’ı Meşari",Diyanet 1961
206,2,199,"Sonra, insanların toplu olarak akın ettiği yerden, siz de akın edin. Allah’tan mağfiret dileyin.",Diyanet 1961
207,2,200,"Hac ibadetinizi bitirdiğinizde, babalarınızı andığınız gibi, hatta ondan daha kuvvetli bir",Diyanet 1961
208,2,201,"’Rabbimiz! Bize dünyada iyiyi, ahirette de iyiyi ver, bizi ateşin azabından koru' diyenler",Diyanet 1961
209,2,202,"İşte onlara, kazançlarından ötürü karşılık vardır. Allah hesabı çabuk görür.",Diyanet 1961
210,2,203,"Allah’ı sayılı günlerde anın. Günahtan sakınan kimseye, acele edip, Mina'daki ibadeti iki",Diyanet 1961
211,2,204,"(204-205) Dünya hayatına dair konuşması senin hoşuna giden, pek azılı düşman iken,",Diyanet 1961
212,2,205,"(204-205) Dünya hayatına dair konuşması senin hoşuna giden, pek azılı düşman iken,",Diyanet 1961
213,2,206,"Ona: 'Allah'tan sakın’ denince, gururu kendisine günah işletir, artık ona cehennem yetişir, ne",Diyanet 1961
214,2,207,"İnsanlar arasında, Allah’ın rızasını kazanmak için canını verenler vardır. Allah kullarına karşı",Diyanet 1961
215,2,208,"Ey İnananlar! Hep birden barışa girin, şeytana ayak uydurmayın, o sizin apaçık",Diyanet 1961
216,2,209,"Size belgeler geldikten sonra kayarsanız, biliniz ki Allah güçlüdür, Hakim'dir.",Diyanet 1961
217,2,210,"Onlar, bulut gölgeleri içinde, Allah’ın azabının ve meleklerin tepelerine inip işin bitmesini",Diyanet 1961
218,2,211,"îsrailoğullarına sor; onlara apaçık nice ayetler verdik, Allah’ın nimetini, kendisine geldikten",Diyanet 1961
219,2,212,"İnkar edenlere, dünya hayatı güzel görünür, onlar, inananlarla alay ederler, oysa, Allah’a",Diyanet 1961
220,2,213,İnsanlar bir tek ümmetti. Allah peygamberleri müjdeci ve uyarıcı olarak gönderdi; insanların,Diyanet 1961
