sıra,sure,ayet,metin,hoca
24,2,17,"Onların durumu şu kişinin durumuna benzer: Bir ateş tutuşturmak istedi.Ateş, çevresindekileri aydınlattığında,Allah onların ışığını giderdi ve onla",Mustafa Öztürk
25,2,18,"Sağırdırlar, dilsizdirler, kördürler.Onlar artık dönmezler. ",Mustafa Öztürk
26,2,19,"Yahut gökten boşalan bir yağmur haline benzer ki onda karanlık var, bir gök gürlemesi var, bir şimşek var.Yıldırımlar yüzünden ölüm korkusuyla parmaklarını kulak",Mustafa Öztürk
27,2,20,"Şimşek neredeyse gözlerini çarpıp götürüverecek.Kendilerine her aydınlık sunduğunda, orada yürürler.Üzerlerine karanlık binince çakılıp kalırlar.E&",Mustafa Öztürk
28,2,21,"Ey insanlar!Sizi de sizden öncekileri de yaratan Rabbinize ibadet edin ki, korunabilesiniz. ",Mustafa Öztürk
29,2,22,"O Rab ki, yeri sizin için bir döşek, göğü de bir bina yaptı.Ve gökten bir su indirdi de onunla sizin için meyvalardan/ürünlerden bir rızık çıkardı.Artık bili",Mustafa Öztürk
30,2,23,"Eğer kulumuza indirdiğimizden kuşku içindeyseniz, hadi onun benzerinden bir sure getirin.Allah dışındaki destekçilerinizi/tanıklarınızı da çağırın.Eğer",Mustafa Öztürk
31,2,24,Eğer yapamazsanız-ki asla yapamayacaksınız- korkun o ateşten ki yakıtı insanlarla taşlardır. Küfre sapanlar için hazırlanmıştır o. ,Mustafa Öztürk
32,2,25,Iman edip hayra ve barışa yönelik değerler üretenlere şunu müjdele: Kendileri için altlarından ırmaklar akan cennetler olacaktır.Onlardaki herhangi bir meyvadan bir rızık ola,Mustafa Öztürk
33,2,26,"Şu bir gerçek ki Allah, bir sivrisineği hatta onun da üstündeki bir varlığı örnek göstermekten sıkılmaz.Böyle bir durumda, inananlar bilirler ki o, Rablerinden bir gerçektir.K",Mustafa Öztürk
34,2,27,"O fasıklar ki Allah'a verdikleri ahdi, onunla anlaşıp bağlandıktan sonra bozar, Allah'ın birleştirilmesini emrettiği şeyi keser ve yeryüzünde bozgun çıkarırlar.&",Mustafa Öztürk
35,2,28,"Allah'a nasıl nankörlük ediyorsunuz?!Siz ölülerdiniz, O sizi diriltti.Sizi yine öldürecek ve sonra diriltecektir.Nihayet O'na döndürüleceksiniz. ",Mustafa Öztürk
36,2,29,"O Allah'yır ki, yeryüzündekilerin tümünü sizin için yarattı.Sonra göğe saltanat kurdu da onları yedi gök halinde düzenledi.O Alim'dir, herşeyi çok iyi bilir. ",Mustafa Öztürk
37,2,30,"Bir zamanlar Rabbin meleklere: &quot;Ben, yeryüzünde bir halife atayacağım.&quot; demişti de onlar şöyle konuşmuşlardı: &quot;Orada bozgunculuk etmekte olan, kan döken birini mi atayacaksı",Mustafa Öztürk
38,2,31,"Ve Adem'e isimlerin tümünü öğretti.Sonra onları meleklere göstererek şöyle buyurdu: &quot;Hadi, haber verin bana şunların isimlerini, eğer doğru sözlüler iseniz.&quot; ",Mustafa Öztürk
39,2,32,"Dediler ki: &quot;Yücedir şanın senin.Bize öğretmiş olduğunun dışında bilgimiz yok bizim.Sen, yalnız sen Alim'sin, herşeyi en iyi şekilde bilirsin;Hakim'sin, herş",Mustafa Öztürk
40,2,33,"Allah buyurdu: &quot;Ey Adem, haber ver onlara onların adlarını.&quot;Adem onlara onların adlarını haber verince, Allah şöyle buyurdu: &quot;Dememiş miydim ben size!Ki ben, göklerin ve yerin gayb&#x",Mustafa Öztürk
41,2,34,"O vakit biz meleklere, &quot;Adem'e secde edin&quot; demiştik de Iblis dışında tümü secde etmişti.Iblis yan çizmiş, kibre sapmış ve nankörlerden olmuştu. ",Mustafa Öztürk
42,2,35,"Ve Adem'e şöyle buyurmuştuk: &quot;Ey Adem, sen ve eşin cennete yerleşin ve ondan dilediğiniz yerde, bol bol yiyin.Ama şu ağaca yaklaşmayın, yoksa zulme tapanlardan olursunuz.&quot; ",Mustafa Öztürk
43,2,36,Bunun üzerine şeytan onların ayaklarını kaydırdı da onları içinde bulundukları yerden çıkardı. Biz de şöyle buyurduk: &quot;Bir kısmınız bir k&#x131,Mustafa Öztürk
44,2,37,"Bunun üzerine Adem, Rabbinden bazı kelimeler öğrenip belledi de O'na yöneldi.O da onun tövbesini kabul etti.Gerçekten de O, evet O, Tevvab'dır, tövbeleri kolayca kabul eder.; Rahim'dir, ra",Mustafa Öztürk
45,2,38,&quot;Hepiniz oradan aşağı inin!&quot; dedik.Benden size bir yol gösteriş ulaşır da kim bu yol gösterişime uyarsa artık böylelerine hiçbir korku yoktur.Onlar kederle de yüzyüze,Mustafa Öztürk
46,2,39,"Nankörlüğe sapıp ayetlerimizi yalanlayanlara gelince onlar, ateşin dostu olacaklardır.Onlar orada sürekli kalacaklardır. ",Mustafa Öztürk
47,2,40,"Ey Israiloğulları!Size lütfettiğim nimetimi hatırlayın; bana verdiğiniz söze vefalı olun ki, ben de size ahdimde vefalı olayım.Ve yalnız benden korkun. ",Mustafa Öztürk
48,2,41,Beraberinizdekini doğrulayıcı olarak indirmiş bulunduğuma inanın.Onu ilk inkar eden siz olmayın.Benim ayetlerimi az bir bedel karşılığı satmayın.Ve yalnız benden sakı,Mustafa Öztürk
49,2,42,Hakkı batılla/saçmalık ve tutarsızlıkla kirletmeyin.Bilip durduğunuz halde gerçeği gizliyorsunuz. ,Mustafa Öztürk
50,2,43,"Namazı kılın, zekatı verin; rüku edenlerle birlikte rüku edin. ",Mustafa Öztürk
51,2,44,Insanlara iyiyi ve güzeli emredip de öz benliklerinizi unutuyor musunuz?Üstelik de Kitap'ı okuyup durmaktasınız.Hala aklınızı kullanmayacak mısınız? ,Mustafa Öztürk
52,2,45,"Sabra ve namaza sarılarak yardım dileyin.Hiç kuşkusuz bu, kalbi ürperti duyanlardan başkasına çok ağır gelir. ",Mustafa Öztürk
53,2,46,"O ürperti duyanlar, Rablerine kavuşacaklarını düşünürler ve bilirler ki onlar, mutlaka O'na döneceklerdir. ",Mustafa Öztürk
54,2,47,"Ey Israiloğulları! Size lütfettiğim nimetimi, sizi alemlere üstün kıldığımı hatırlayın. ",Mustafa Öztürk
55,2,48,"Ve korkun o günden ki, hiçbir benlik başka bir benliğin herhangi birşeyi için karşılık ödemez; hiçbir benlikten şefaat kabul edilmez, hiçbir benlikten fidye alınmaz.Ve on",Mustafa Öztürk
56,2,49,"Sizi Firavun hanedanından kurtardığımızı da hatırlayın.Hani onlar size azabın en çirkiniyle eziyet ediyorlardı: Erkek çocuklarınızı boğazlıyorlar, kad&#",Mustafa Öztürk
57,2,50,"Hani önünüzde denizi yarmıştık da sizi kurtarmış, Firavun hanedanını boğmuştuk.Siz de bunu bakıp görüyordunuz. ",Mustafa Öztürk
58,2,51,Ve Musa ile kırk gece için sözleşmiştik de siz bunun ardından buzağıyı tanrı edinmiştiniz. Zulme sapmıştınız siz. ,Mustafa Öztürk
59,2,52,Belki şükredersiniz diye bunun ardından da sizi affetmiştik. ,Mustafa Öztürk
60,2,53,Iyiye ve güzele yol bulursunuz ümidiyle Musa'ya Kitap'ı ve furkanı/hakla batılı ayıran mesajı vermiştik. ,Mustafa Öztürk
61,2,54,"Hani Musa, toplumuna demişti ki: &quot;Ey toplumum, buzağıyı tanrı edinmenizle öz benliklerinize zulmettiniz.Hadi, yaratıcınıza, Bari'inize tövbe edin;egolarınızı öld&uu",Mustafa Öztürk
62,2,55,"Siz şunu da söylemiştiniz: &quot;Ey Musa!Biz, Allah'ı apaçık görmedikçe sana asla inanmayacağız.&quot;Bunu üzerine sizi yıldırım çarpmıştı.Ve ",Mustafa Öztürk
63,2,56,"Sonra ölümünüzün ardından sizi dirilttik ki, şükredebilesiniz. ",Mustafa Öztürk
64,2,57,"Ve bulutu üstünüze gölgelik yaptık ve size kudret helvasıyla bıldırcın indirdik: &quot;Rızık olarak size verdiklerimizin, en temizlerinden yiyin.&quot; Dedik.Onlar zulmü bize yapmadıl",Mustafa Öztürk
65,2,58,"Şöyle demiştik: &quot;Girin şu kente; orada, dilediğiniz yerde bol bol yiyin.Kapıdan secde ederek girin ve 'affet bizi' deyin ki, hatalarınızı bağışlayalım.Biz gü",Mustafa Öztürk
66,2,59,"Ne var ki zulme sapanlar, bir sözü kendilerine söylenmiş olandan başkasıyla değiştirdiler.Bunun üzerine biz, bu zalimler üstüne, ürettikleri kötülüklere karşıl&#x13",Mustafa Öztürk
67,2,60,"Bir zamanlar Musa, toplumu için su istemişti de biz, &quot;değneğinle şu taşa vur&quot; demiştik.Taştan hemen oniki göze fışkırmıştı.Her bölük insan kendile",Mustafa Öztürk
68,2,61,"Siz şöyle demiştiniz: &quot;Ey Musa, biz bir tek yemeğe asla dayanamayız; bizim için Rabbine dua et de bize yerin bitirdiklerinden, baklasından, acurundan, sarmısağından, mercimeğinden, so&#",Mustafa Öztürk
69,2,62,"Şu bir gerçek ki, iman edenlerden, Yahudilerden, Hıristiyanlardan,Sabiılerden Allah'a ve ahiret gününe inanıp barışa ve hayra yönelik iş yapanların, Rableri katında kendileri",Mustafa Öztürk
70,2,63,"Hani sizden şu şekilde kesin söz almış da Tur'u üzerimize kaldırmıştık: &quot;Size verdiğimizi kuvvetle tutun ve içinde olanı hatırlayıp zikredin ki, sakın",Mustafa Öztürk
71,2,64,"Bunun ardından da yüz çevirip döndünüz.Eğer Allah'ın size lütfu ve rahmeti olmasaydı, kesinlikle hüsrana uğrayanlardan olacaktınız. ",Mustafa Öztürk
72,2,65,"Yemin olsun ki, içinizden Cumartesi gününde azgınlık yapanları siz bilirsinz.Onlara şöyle dedik: &quot;Aşağılık maymunlar oluverin.&quot; ",Mustafa Öztürk
73,2,66,"Bu durumu, o zamankilere ve onların ardından geleceklere ibret dolu bir ceza, takva sahiplerine de bir öğüt yaptık. ",Mustafa Öztürk
74,2,67,"Musa, toplumuna dedi ki: &quot;Allah size bir inek kesmenizi emrediyor.&quot; Dediler ki: &quot;Sen bizimle alay mı ediyorsun?&quot; Dedi ki: &quot;Cahillerden biri olmaktan Allah'a sığınırım.&quot; ",Mustafa Öztürk
75,2,68,"Şöyle konuştular: &quot;Çağır Rabbine bizim için, açıklasın bize neymiş o!&quot; Cevap verdi: &quot;O diyor ki, bahsettiğim ne yaşlıdır ne de körpe.Ikisi",Mustafa Öztürk
76,2,69,"Şöyle dediler: &quot;Çağır Rabbine bizim için, neymiş onun rengi açıklasın bize.&quot;Cevap verdi: &quot;O diyor ki, bahsettiğim, sarı, rengi parlak bir inektir; seyredenlere mutlulu",Mustafa Öztürk
77,2,70,"Şöyle dediler: &quot;Dua et Rabbine, açıklasın bize neymiş o!Çünkü bu inek, bizim gözümüzde başkalarıyla karıştı.Ve biz, Allah dilerse, doğruya ve g&uum",Mustafa Öztürk
78,2,71,"Cevap verdi Musa: &quot;Allah diyor ki, bahsettiğim, boyunduruk yememiş bir inektir; toprağı sürmez, ekini sulamaz.Salma hayvandır.Alaca yoktur onda.&quot;Dediler ki: &quot;Işte şimdi gerçeğ",Mustafa Öztürk
79,2,72,"Siz bir adam öldürmüştünüz de onunla ilgili olarak çekişip duruyordunuz.Oysaki Allah, sizin sakladıklarınızı ortaya çıkaracaktı. ",Mustafa Öztürk
80,2,73,"Şöyle dedik: &quot;Kesilen ineğin bir parçasıyla, öldürülen adama vurun!&quot; Işte böyle diriltir Allah ölüleri.Size ayetlerini gösteriyor ki, aklınızı iş",Mustafa Öztürk
81,2,74,"Sonra bunun ardından kalpleriniz yine kaskatı kesildi.Taş gibidir o.Belki daha da katıdır.Taşların bazıları var ki, ondan ırmaklar fışkırır.Bazıları var ki, &cc",Mustafa Öztürk
82,2,75,"Şimdi siz bunların size inanmalarını mı umuyorsunuz?Bunların içlerinden bir fırka vardı ki, Allah'ın kelamını dinliyorlar, sonra onu, kavramalarının ardından, ",Mustafa Öztürk
83,2,76,"Inanmış olanlarla karşılaştıklarında, 'inandık' derler.Başbaşa kaldıklarında ise şöyle konuşurlar: &quot;Allah'ın size açtı&",Mustafa Öztürk
84,2,77,"Bilmezler mi ki, Allah onların sakladıklarını da açıkladıklarını da çok iyi bilmektedir. ",Mustafa Öztürk
85,2,78,"Içlerinde ümmı olanlar da vardır ki Kitap'ı bilmezler, sadece hayal ve kuruntu bilirler.Onlar yalnız sanıya saplanırlar. ",Mustafa Öztürk
86,2,79,"Yazıklar olsun ki o kişilere ki, Kitap'ı kendi elleriyle yazarlar da sonra onunla basit bir karşılık satın alsınlar diye, &quot;işte bu, Allah katındadır&quot; derler.Vay haline onlar&",Mustafa Öztürk
87,2,80,"Dediler ki: &quot;Sayılı birkaç gün dışında ateş bize asla dokunmayacaktır.&quot; De ki: &quot;Allah'tan bir ahit mi aldınız!Allah, ahdine asla ters düşmez.Yoksa siz Allah&p",Mustafa Öztürk
88,2,81,"Iş onların sandığı gibi değil.Kötülük ve çirkinlik kazanan, suçu kendisini kuşatmış olan kişiler, ateşin dostudurlar.Sürekli kalacaklardır orada",Mustafa Öztürk
89,2,82,Iman edip hayra ve barışa yönelik işler yapanlar ise cennetin dostudurlar.Onlar da orada sürekli kalacaklardır. ,Mustafa Öztürk
90,2,83,"Israiloğullarından şöyle bir söz de almıştık: Allah'tan başkasına ibadet etmeyin, anne-babaya, akrabaya, yetimlere, yoksullara iyilik ve güzellikle davranın.Insanlara g&",Mustafa Öztürk
91,2,84,Sizden şu sözü de almıştık: Birbirinizin kanını dökmeyeceksiniz.Birbirlerinizi yurtlarınızdan çıkarmayacaksınız.Bunu kabul etmiştiniz.Hala da buna tanıklars,Mustafa Öztürk
92,2,85,Bütün bunlardan sonra siz şu insanlarsınız: Birbirinizi öldürüyorsunuz.Içinizden bir zümreyi yurtlarından çıkarıyorsunuz.Onlar aleyhine kötülük ve dü&,Mustafa Öztürk
93,2,86,"Işte bunlar, ahiret karşılığında dünyayı satın alan kişilerdir.Azap, hafifletilmeyecektir onlardan. Hiçbir şekilde yardım da edilmeyecektir onlara. ",Mustafa Öztürk
94,2,87,"Yemin olsun ki, Musa'ya Kitap'ı verdik.Ve arkasından da resuller gönderdik.Meryem oğlu Isa'ya da açık-seçik deliller verdik ve kendisini Ruhulkudüs'le güçlendirdik.Bi",Mustafa Öztürk
95,2,88,&quot;Kalplerimiz kabuk tutmuştur.&quot; Dediler.Hayır öyle değil.Küfürleri yüzünden Allah onları lanetlemiştir de çok az bir kısmı iman eder. ,Mustafa Öztürk
96,2,89,"Yanlarındakini doğrulamak üzere kendilerine Allah katından bir kitap geldiğinde, daha önce inkar edenlere karşı zafer isteyip durdukları halde, tanıyıp bildikleri kendilerine gelince, onu inka",Mustafa Öztürk
97,2,90,"Allah'ın, kullarından dilediğine lütfunun eseri olarak indirdiğini zalimce kıskanarak, Allah'ın vahyettiğini inkar etmeleri uğruna öz benliklerini sattıkları şey ne &cc",Mustafa Öztürk
98,2,91,"Onlara, &quot;Allah'ın indirmiş olduğuna inanın&quot; denildiğinde şöyle konuşurlar: &quot;Biz, bize indirilene inanırız.&quot; Ve ondan ötesini inkar ederler.Oysaki o, kendilerinin yan&",Mustafa Öztürk
99,2,92,"Yemin olsun ki, Musa size açık-seçik hak beyanlarla gelmişti de onun arkasından buzağıyı ilah edinmiştiniz.Zalimlersiniz sizler. ",Mustafa Öztürk
100,2,93,Hani kesin söz almıştık sizden de Tur'u üzerinize kaldırmıştık. &quot;Size verdiğimizi kuvvetlice tutun ve dinleyin.&quot; Demişyik.Şöyle demişlerdi: &quot;Dinledik ve i,Mustafa Öztürk
101,2,94,"De ki: &quot;Allah katındaki ahiret yurdu diğer insanların değil de yalnız ve yalnız sizin ise, eğer doğru sözlü iseniz, hadi isteyin ölümü!&quot; ",Mustafa Öztürk
102,2,95,"Ellerinin önden gönderdiği şeyler yüzünden ölümü hiçbir zaman istemeyeceklerdir.Allah, zalimleri çok iyi bilmektedir. ",Mustafa Öztürk
103,2,96,"Sen onları, insanların yaşamaya en düşkünü olarak bulursun.Şirke batanlardan bile...Her biri bin yıl ömür sürsün ister.Oysaki, uzun yaşaması onu azaptan uzaklaşt&#x131",Mustafa Öztürk
104,2,97,"De ki: &quot;Kim Cebrail'e -ki o, Allah'ın izniyle Kur'an'ı kendinden öncekini doğrulayıcı, insanlara yol gösterici ve müjde olarak senin kalbine indirmiştir- düşman kesi",Mustafa Öztürk
105,2,98,"Kim Allah'a, O'nun meleklerine, resullerine, Cebrail'e, Mikail'e düşman kesilirse, Allah'ta bu tür inkarcılara düşman kesilir. ",Mustafa Öztürk
106,2,99,"Andolsun, biz sana açık-seçik ayetler indirdik.Onları, pislik ve sapıklığa bulaşmış olanlardan başkası inkar etmez. ",Mustafa Öztürk
107,2,100,"Bir ahitle söz verdikleri her seferinde, içlerinden bir fırka, ahdi kaldırıp atmadı mı?Doğrusu şu ki, onların çokları iman etmezler. ",Mustafa Öztürk
108,2,101,"Allah katından kendilerine, ellerinde bulunanı tasdikleyici bir resul geldiğinde, kitap verilenlerden bir fırka, Allah!ın Kitabı'nı hiç bilmiyorlarmış gibi kaldırıp arkalar&#x13",Mustafa Öztürk
109,2,102,"Süleyman'ın mülk ve saltanatı konusunda onlar, şeytanların okuyup durduklarını uydurdular.Halbuki Süleyman küfre sapmamıştı.Ancak şeytanlar küfre sapmışt",Mustafa Öztürk
110,2,103,"Eğer onlar iman edip sakınsalardı, Allah katında bir sevap elbette daha kıymetli olurdu.Keşke bilebilselerdi. ",Mustafa Öztürk
111,2,104,"Ey iman edenler! &quot;Raina&quot; demeyin, &quot;unzurna&quot; deyin/ &quot;bizi davar gibi güt&quot;diye konuşmayın, &quot;bize bak diye&quot; konuşun ve dinleyin.Kafirler için korkunç bir azap vardır. ",Mustafa Öztürk
112,2,105,"Ehlikitap'ın küfre sapanlarıyla müşrikler, Rabbinizden size bir hayır indirilmesini istemezler.Ama Allah, rahmetini dilediğine özgüler.Allah, büyük lütfun sahibidir. ",Mustafa Öztürk
113,2,106,"Biz bir ayeti siler, unuturur veya ertelersek ondan daha iyisini veya onun bir benzerini getiririz.Allah!ın herşeye gücü yeter olduğunu bilmedin mi? ",Mustafa Öztürk
114,2,107,Bilmedi mi ki göklerin de yerin de mülk ve saltanatı yalnız Allah' ındır.Sizin için Allah'tan başka ne bir Veli vardır ne de bir Nasır/yardımcı. ,Mustafa Öztürk
115,2,108,"Yoksa siz de resulünüzden, daha önce Musa'dan istekte bulunduğu gibi isteklerde bulunmak mı diliyorsunuz?!Imanı küfürle değiştirmeye kalkan, yolun dosdoğrusunu saptırmı&#x",Mustafa Öztürk
116,2,109,"Ehlikitap'tan birçoğu, benliklerindeki kıskançlık yüzünden sizi, imanınızdan sonra kafirler haline bir döndürebilseler diye yürekten istedi.Hem de gerçekten kendilerine ayan-",Mustafa Öztürk
117,2,110,"Namazı kılın, zekatı verin.Özbenlikleriniz için önden gönderdiğiniz her hayrı, Allah katında bulacaksınız.Hiç kuşkusuz, Allah, yapmakta olduklarınızı",Mustafa Öztürk
118,2,111,"&quot;Yahudi yahut Hıristiyan olandan başkası cennete asla giremeyecek.&quot; Dediler.Bu, onların hayalleri, kuruntularıdır.De ki onlara: &quot;Eğer doğru sözlü iseniz hadi, getirin kanıt&#x13",Mustafa Öztürk
119,2,112,"Iş onların sandığı gibi değil!Kim güzel davranışlar sergileyerek yüzünü Allah!a teslim ederse, Rabbi katında ödülü vardır onun.Korku yoktur böyleleri ",Mustafa Öztürk
120,2,113,Yahudiler: &quot;Hıristiyanlar hiçbir şey üzerinde değil.&quot; dediler.Hıristiyanlar da: &quot;Yahudiler hiçbir şey üzerinde değil.&quot; dediler.Ve bunlar Kitap'ı da okuyup dururlar.,Mustafa Öztürk
121,2,114,"Allah'ın mescitlerini, içlerinde Allah'ın adı anılmasın diye engelleyen ve onların yıkımı için uğraşan kişiden daha zalim kim olabilir!...Böylelerinin, o",Mustafa Öztürk
122,2,115,"Doğu da batı da yalnız Allah'ındır.O halde nereye dönerseniz orada Allah'ın yüzü vardır.Allah Vasi'dir, varlığı sürekli genişletip büyütü",Mustafa Öztürk
123,2,116,"&quot;Allah çocuk edindi.&quot; Dediler.Haşa!Böyle bir şeyden arınmıştır O!Tam aksine, göklerdekiler de yerdekiler de O'na aittir.Bunların tümü O'nun önünde boyun b&",Mustafa Öztürk
124,2,117,"Gökleri ve yeri, güzelliklerle donatarak yaratan Bedi' O'dur.Bir şeyin olmasına karar verdi mi ona sadece &quot;ol&quot; der.Artık o, oluverir. ",Mustafa Öztürk
125,2,118,"Bilgiden yoksun olanlar dedi ki: &quot;Allah bizimle konuşsaydı yahut bize bir mucize gelseydi ya!...&quot;Onlardan öncekiler de aynen onların dediği gibi demişti.Kalpleri birbirine benzemiştir.Biz ayetleri, ger&cce",Mustafa Öztürk
126,2,119,"Inan olsun ki, biz seni hak üzere bir müjdeci ve uyarıcı olarak gönderdik.Sen, cehennem ehlinden sorgusuale çekilmeyeceksin/cehennem yaranından sen sorumlu değilsin. ",Mustafa Öztürk
127,2,120,Sen onların öz milletlerine uymadıkça Yahudiler de Hıristiyanlar da senden asla hoşnut olmazlar.De ki: &quot;Allah'ın kılavuzluğu erdirici kılavuzluğun ta kendisidir.&quot;Ilimde,Mustafa Öztürk
128,2,121,"Kendilerine Kitap'ı verdiklerimiz onu, okunuşunun hakkını vererek okurlar.Işte onlar ona inanırlar.Onu inkar edenlere gelince, onlar hüsrana uğrayanların ta kendisidir. ",Mustafa Öztürk
129,2,122,Ey Israiloğulları!Size lütfettiğim nimetimi hatırlayın.Ben sizi alemlerden daha üstün kılmıştım. ,Mustafa Öztürk
130,2,123,"Kimsenin kimse yerine birşey ödemeyeceği, kimseden fidye kabul edilmeyeceği, şefaatin hiç kimseye yarar sağlamayacağı ve onların hiçbir yardım göremeyecekleri o günden korku",Mustafa Öztürk
131,2,124,"Hani Rabbi, Ibrahim'i bazı kelimelerle imtihana çekmiş, o da onların hakkını vermişti de Rab şöyle demişti: &quot;Seni insanlara önder yapacağım.&quot; Ibrahim, ",Mustafa Öztürk
132,2,125,"Hatırla o zamanı ki, biz Beytullah'ı insanlar için sevap kazanmaya yönelik bir toplantı yeri ve güvenli bir sığınak yaptık.Siz de Ibrahim'in makamından bir dua yeri ed",Mustafa Öztürk
133,2,126,"Ibrahim şöyle yakarmıştı: &quot;Rabbim!Şu kenti güvenli bir kent yap, halkının Allah'a ve ahiret gününe inananlarını çeşitli ürünlerle rız&#x",Mustafa Öztürk
134,2,127,"Ibrahim'in, Ismail'le birlikte, Beytullah'ın ana duvarlarını yükselterek şöyle yakardıkları zamanı da an: &quot;Rabbimiz, bizden gelen niyazları kabul buyur; sen, evet ",Mustafa Öztürk
135,2,128,"&quot;Rabbimiz!Bizi, sana teslim olmuş iki müslüman kıl.Soyumuzdan da sana teslim olan müslüman bir ümmet oluştur.Bize ibadet yerlerimizi göster, bizim tövbemizi kabul et.Sen, evet sen, Tevvab's&#x",Mustafa Öztürk
136,2,129,"&quot;Rabbimiz!Içlerinden onlara, senin ayetlerini okuyacak, kendilerine Kitap'ı ve hikmeti öğretecek, onları temizleyip arındıracak bir resul gönder.Sen, evet sen, Aziz'sin, tüm ululuk ",Mustafa Öztürk
137,2,130,"Öz benliğini beyinsizliğe itenden başka kim, Ibrahim'in milletinden yüz çevirir?Yemin olsun ki biz onu dünyada seçip yüceltmiştik.Ve o, ahirette de barış ve iyilik sevenlerde",Mustafa Öztürk
138,2,131,"Rabbi ona, &quot;müslüman olup bana teslim ol&quot; dediğinde o şu cevabı vermişti: &quot;Teslim oldum alemlerin Rabbi'ne!&quot; ",Mustafa Öztürk
139,2,132,"Ibrahim de oğullarına şunu vasiyet etti, Yakub da: &quot;Oğullarım!Allah sizin için bu dini seçmiştir.O halde ancak müslümanlar olarak can verin.&quot; ",Mustafa Öztürk
140,2,133,"Yoksa siz, Yakub'a ölümün gelip çatışına tanıklar mıydınız?Hani, oğullarına şunu sormuştu: &quot;Benden sonra neye ibadet edeceksiniz?&quot; Cevapları &#x15",Mustafa Öztürk
141,2,134,"Işte bunlar ümmetti, gelip geçtiler.Kazandıkları kendilerinindir.Sizin kazandıklarınız da sizin olacaktır.Siz onların yapıp ettiklerinden sorguya çekilmeyeceksiniz. ",Mustafa Öztürk
142,2,135,"&quot;Yahudi yahut Hıristiyan olun ki doğruya kılavuzlanasınız.&quot; Dediler.De ki: &quot;Hayır, öyle değil.Şirk ve yozlaşmadan uzak bir biçimde, Ibrahim milletinden olalım.O, &",Mustafa Öztürk
