Sıra,Sure,Ayet,Metin,Hoca
31,2,24,feil lem tef`alû velen tef`alû fetteḳu-nnâra-lletî veḳûduhe-nnâsu velḥicârah. u`iddet lilkâfirîn.,Abay Yazılışı
32,2,25,vebeşşiri-lleẕîne âmenû ve`amilu-ṣṣâliḥâti enne lehum cennâtin tecrî min taḥtihe-l'enhâr. kullemâ ruziḳû minhâ min ŝemeratir rizḳan ḳâlû hâẕe-lleẕî ruziḳnâ min ḳablu veutû bihî muteşâbihâ. velehum fîhâ ezvâcum muṭahherâtuv vehum fîhâ ḫâlidûn.,Abay Yazılışı
33,2,26,inne-llâhe lâ yestaḥyî ey yaḍribe meŝelem mâ be`ûḍaten femâ fevḳahâ. feemme-lleẕîne âmenû feya`lemûne ennehu-lḥaḳḳu mir rabbihim. veemme-lleẕîne keferû feyeḳûlûne mâẕâ erâde-llâhu bihâẕâ meŝelâ. yuḍillu bihî keŝîrav veyehdî bihî keŝîrâ. vemâ yuḍillu bihî ille-lfâsiḳîn.,Abay Yazılışı
34,2,27,elleẕîne yenḳuḍûne `ahde-llâhi mim ba`di mîŝâḳih. veyaḳṭa`ûne mâ emera-llâhu bihî ey yûṣale veyufsidûne fi-l'arḍ. ulâike humu-lḫâsirûn.,Abay Yazılışı
35,2,28,keyfe tekfurûne billâhi vekuntum emvâten feaḥyâkum. ŝumme yumîtukum ŝumme yuḥyîkum ŝumme ileyhi turce`ûn.,Abay Yazılışı
36,2,29,huve-lleẕî ḫaleḳa lekum mâ fi-l'arḍi cemî`an ŝumme-stevâ ile-ssemâi fesevvâhunne seb`a semâvât. vehuve bikulli şey'in `alîm.,Abay Yazılışı
37,2,30,veiẕ ḳâle rabbuke lilmelâiketi innî câ`ilun fi-l'arḍi ḫalîfeh. ḳâlû etec`alu fîhâ mey yufsidu fîhâ veyesfiku-ddimâ'. venaḥnu nusebbiḥu biḥamdike venuḳaddisu lek. ḳâle innî a`lemu mâ lâ ta`lemûn.,Abay Yazılışı
38,2,31,ve`alleme âdeme-l'esmâe kullehâ ŝumme `araḍahum `ale-lmelâiketi feḳâle embiûnî biesmâi hâulâi in kuntum ṣâdiḳîn.,Abay Yazılışı
39,2,32,ḳâlû subḥâneke lâ `ilme lenâ illâ mâ `allemtenâ. inneke ente-l`alîmu-lḥakîm.,Abay Yazılışı
40,2,33,ḳâle yâ âdemu embi'hum biesmâihim. felemmâ embeehum biesmâihim ḳâle elem eḳul lekum innî a`lemu gaybe-ssemâvâti vel'arḍi vea`lemu mâ tubdûne vemâ kuntum tektumûn.,Abay Yazılışı
41,2,34,veiẕ ḳulnâ lilmelâiketi-scudû liâdeme fesecedû illâ iblîs. ebâ vestekbera vekâne mine-lkâfirîn.,Abay Yazılışı
42,2,35,veḳulnâ yâ âdemu-skun ente vezevcuke-lcennete vekulâ minhâ ragaden ḥayŝu şi'tumâ. velâ taḳrabâ hâẕihi-şşecerate fetekûnâ mine-żżâlimîn.,Abay Yazılışı
43,2,36,feezellehume-şşeyṭânu `anhâ feaḫracehumâ mimmâ kânâ fîh. veḳulne-hbiṭû ba`ḍukum liba`ḍin `aduvv. velekum fi-l'arḍi musteḳarruv vemetâ`un ilâ ḥîn.,Abay Yazılışı
44,2,37,feteleḳḳâ âdemu mir rabbihî kelimâtin fetâbe `aleyh. innehû huve-ttevvâbu-rraḥîm.,Abay Yazılışı
45,2,38,ḳulne-hbiṭû minhâ cemî`â. feimmâ ye'tiyennekum minnî huden femen tebi`a hudâye felâ ḫavfun `aleyhim velâ hum yaḥzenûn.,Abay Yazılışı
46,2,39,velleẕîne keferû vekeẕẕebû biâyâtinâ ulâike aṣḥâbu-nnâr. hum fîhâ ḫâlidûn.,Abay Yazılışı
47,2,40,yâ benî isrâîle-ẕkurû ni`metiye-lletî en`amtu `aleykum veevfû bi`ahdî ûfi bi`ahdikum veiyyâye ferhebûn.,Abay Yazılışı
48,2,41,veâminû bimâ enzeltu muṣaddiḳal limâ me`akum velâ tekûnû evvele kâfirim bih. velâ teşterû biâyâtî ŝemenen ḳalîlâ. veiyyâye fetteḳûn.,Abay Yazılışı
49,2,42,velâ telbisu-lḥaḳḳa bilbâṭili vetektumu-lḥaḳḳa veentum ta`lemûn.,Abay Yazılışı
50,2,43,veeḳîmu-ṣṣalâte veâtu-zzekâte verke`û me`a-rrâki`în.,Abay Yazılışı
51,2,44,ete'murûne-nnâse bilbirri vetensevne enfusekum veentum tetlûne-lkitâb. efelâ ta`ḳilûn.,Abay Yazılışı
52,2,45,veste`înû biṣṣabri veṣṣalâh. veinnehâ lekebîratun illâ `ale-lḫâşi`în.,Abay Yazılışı
53,2,46,elleẕîne yeżunnûne ennehum mulâḳû rabbihim veennehum ileyhi râci`ûn.,Abay Yazılışı
54,2,47,yâ benî isrâîle-ẕkurû ni`metiye-lletî en`amtu `aleykum veennî feḍḍaltukum `ale-l`âlemîn.,Abay Yazılışı
55,2,48,vetteḳû yevmel lâ teczî nefsun `an nefsin şey'ev velâ yuḳbelu minhâ şefâ`atuv velâ yu'ḫaẕu minhâ `adluv velâ hum yunṣarûn.,Abay Yazılışı
56,2,49,veiẕ necceynâkum min âli fir`avne yesûmûnekum sûe-l`aẕâbi yuẕebbiḥûne ebnâekum veyestaḥyûne nisâekum. vefî ẕâlikum belâum mir rabbikum `ażîm.,Abay Yazılışı
57,2,50,veiẕ feraḳnâ bikumu-lbaḥra feenceynâkum veagraḳnâ âle fir`avne veentum tenżurûn.,Abay Yazılışı
58,2,51,veiẕ vâ`adnâ mûsâ erbe`îne leyleten ŝumme-tteḫaẕtumu-l`icle mim ba`dihî veentum żâlimûn.,Abay Yazılışı
59,2,52,ŝumme `afevnâ `ankum mim ba`di ẕâlike le`allekum teşkurûn.,Abay Yazılışı
60,2,53,veiẕ âteynâ mûse-lkitâbe velfurḳâne le`allekum tehtedûn.,Abay Yazılışı
61,2,54,veiẕ ḳâle mûsâ liḳavmihî yâ ḳavmi innekum żalemtum enfusekum bittiḫâẕikumu-l`icle fetûbû ilâ bâriikum faḳtulû enfusekum. ẕâlikum ḫayrul lekum `inde bâriikum. fetâbe `aleykum. innehû huve-ttevvâbu-rraḥîm.,Abay Yazılışı
62,2,55,veiẕ ḳultum yâ mûsâ len nu'mine leke ḥattâ nera-llâhe cehraten feeḫaẕetkumu-ṣṣâ`iḳatu veentum tenżurûn.,Abay Yazılışı
63,2,56,ŝumme be`aŝnâkum mim ba`di mevtikum le`allekum teşkurûn.,Abay Yazılışı
64,2,57,veżallelnâ `aleykumu-lgamâme veenzelnâ `aleykumu-lmenne vesselvâ. kulû min ṭayyibâti mâ razaḳnâkum. vemâ żalemûnâ velâkin kânû enfusehum yażlimûn.,Abay Yazılışı
65,2,58,veiẕ ḳulne-dḫulû hâẕihi-lḳaryete fekulû minhâ ḥayŝu şi'tum ragadev vedḫulu-lbâbe succedev veḳûlû ḥiṭṭatun nagfir lekum ḫaṭâyâkum. vesenezîdu-lmuḥsinîn.,Abay Yazılışı
66,2,59,febeddele-lleẕîne żalemû ḳavlen gayra-lleẕî ḳîle lehum feenzelnâ `ale-lleẕîne żalemû riczem mine-ssemâi bimâ kânû yefsuḳûn.,Abay Yazılışı
67,2,60,veiẕi-stesḳâ mûsâ liḳavmihî feḳulne-ḍrib bi`aṣâke-lḥacer. fenfecerat minhu-ŝnetâ `aşrate `aynâ. ḳad `alime kullu unâsim meşrabehum. kulû veşrabû mir rizḳi-llâhi velâ ta`ŝev fi-l'arḍi mufsidîn.,Abay Yazılışı
68,2,61,veiẕ ḳultum yâ mûsâ len naṣbira `alâ ṭa`âmiv vâḥidin fed`u lenâ rabbeke yuḫric lenâ mimmâ tumbitu-l'arḍu mim baḳlihâ veḳiŝŝâihâ vefûmihâ ve`adesihâ vebeṣalihâ. ḳâle etestebdilûne-lleẕî huve ednâ billeẕî huve ḫayr. ihbiṭû miṣran feinne lekum mâ seeltum. veḍuribet `aleyhimu-ẕẕilletu velmeskenetu vebâû bigaḍabim mine-llâh. ẕâlike biennehum kânû yekfurûne biâyâti-llâhi veyaḳtulûne-nnebiyyîne bigayri-lḥaḳḳ. ẕâlike bimâ `aṣav vekânû ya`tedûn.,Abay Yazılışı
69,2,62,inne-lleẕîne âmenû velleẕîne hâdû venneṣârâ veṣṣâbi'îne men âmene billâhi velyevmi-l'âḫiri ve`amile ṣâliḥan felehum ecruhum `inde rabbihim. velâ ḫavfun `aleyhim velâ hum yaḥzenûn.,Abay Yazılışı
70,2,63,veiẕ eḫaẕnâ mîŝâḳakum verafa`nâ fevḳakumu-ṭṭûr. ḫuẕû mâ âteynâkum biḳuvvetiv veẕkurû mâ fîhi le`allekum tetteḳûn.,Abay Yazılışı
71,2,64,ŝumme tevelleytum mim ba`di ẕâlik. felevlâ faḍlu-llâhi `aleykum veraḥmetuhû lekuntum mine-lḫâsirîn.,Abay Yazılışı
72,2,65,veleḳad `alimtumu-lleẕîne-`tedev minkum fi-ssebti feḳulnâ lehum kûnû ḳiradeten ḫâsiîn.,Abay Yazılışı
73,2,66,fece`alnâhâ nekâlel limâ beyne yedeyhâ vemâ ḫalfehâ vemev`iżatel lilmutteḳîn.,Abay Yazılışı
74,2,67,veiẕ ḳâle mûsâ liḳavmihî inne-llâhe ye'murukum en teẕbeḥû beḳarah. ḳâlû etetteḫiẕunâ huzuvâ. ḳâle e`ûẕu billâhi en ekûne mine-lcâhilîn.,Abay Yazılışı
75,2,68,ḳâlu-d`u lenâ rabbeke yubeyyil lenâ mâ hî. ḳâle innehû yeḳûlu innehâ beḳaratul lâ fâriḍuv velâ bikr. `avânum beyne ẕâlik. fef`alû mâ tu'merûn.,Abay Yazılışı
76,2,69,ḳâlu-d`u lenâ rabbeke yubeyyil lenâ mâ levnuhâ. ḳâle innehû yeḳûlu innehâ beḳaratun ṣafrâu fâḳi`ul levnuhâ tesurru-nnâżirîn.,Abay Yazılışı
77,2,70,ḳâlu-d`u lenâ rabbeke yubeyyil lenâ mâ hiye inne-lbeḳara teşâbehe `aleynâ. veinnâ in şâe-llâhu lemuhtedûn.,Abay Yazılışı
78,2,71,ḳâle innehû yeḳûlu innehâ beḳaratul lâ ẕelûlun tuŝîru-l'arḍa velâ tesḳi-lḥarŝ. musellemetul lâ şiyete fîhâ. ḳâlu-l'âne ci'te bilḥaḳḳ. feẕebeḥûhâ vemâ kâdû yef`alûn.,Abay Yazılışı
79,2,72,veiẕ ḳateltum nefsen feddâra'tum fîhâ. vellâhu muḫricum mâ kuntum tektumûn.,Abay Yazılışı
80,2,73,feḳulne-ḍribûhu biba`ḍihâ. keẕâlike yuḥyi-llâhu-lmevtâ veyurîkum âyâtihî le`allekum ta`ḳilûn.,Abay Yazılışı
81,2,74,ŝumme ḳaset ḳulûbukum mim ba`di ẕâlike fehiye kelḥicârati ev eşeddu ḳasveh. veinne mine-lḥicârati lemâ yetefecceru minhu-l'enhâr. veinne minhâ lemâ yeşşeḳḳaḳu feyaḫrucu minhu-lmâ'. veinne minhâ lemâ yehbiṭu min ḫaşyeti-llâh. veme-llâhu bigâfilin `ammâ ta`melûn.,Abay Yazılışı
82,2,75,efetaṭme`ûne ey yu'minû lekum veḳad kâne ferîḳum minhum yesme`ûne kelâme-llâhi ŝumme yuḥarrifûnehû mim ba`di mâ `aḳalûhu vehum ya`lemûn.,Abay Yazılışı
83,2,76,veiẕâ leḳu-lleẕîne âmenû ḳâlû âmennâ. veiẕâ ḫalâ ba`ḍuhum ilâ ba`ḍin ḳâlû etuḥaddiŝûnehum bimâ feteḥa-llâhu `aleykum liyuḥâccûkum bihî `inde rabbikum. efelâ ta`ḳilûn.,Abay Yazılışı
84,2,77,evelâ ya`lemûne enne-llâhe ya`lemu mâ yusirrûne vemâ yu`linûn.,Abay Yazılışı
85,2,78,veminhum ummiyyûne lâ ya`lemûne-lkitâbe illâ emâniyye vein hum illâ yeżunnûn.,Abay Yazılışı
86,2,79,feveylul lilleẕîne yektubûne-lkitâbe bieydîhim ŝumme yeḳûlûne hâẕâ min `indi-llâhi liyeşterû bihî ŝemenen ḳalîlâ. feveylul lehum mimmâ ketebet eydîhim veveylul lehum mimmâ yeksibûn.,Abay Yazılışı
87,2,80,veḳâlû len temessene-nnâru illâ eyyâmem ma`dûdeh. ḳul etteḫaẕtum `inde-llâhi `ahden feley yuḫlife-llâhu `ahdehû em teḳûlûne `ale-llâhi mâ lâ ta`lemûn.,Abay Yazılışı
88,2,81,belâ men kesebe seyyietev veeḥâṭat bihî ḫaṭîetuhû feulâike aṣḥâbu-nnâr. hum fîhâ ḫâlidûn.,Abay Yazılışı
89,2,82,velleẕîne âmenû ve`amilu-ṣṣâliḥâti ulâike aṣḥâbu-lcenneh. hum fîhâ ḫâlidûn.,Abay Yazılışı
90,2,83,veiẕ eḫaẕnâ mîŝâḳa benî isrâîle lâ ta`budûne ille-llâhe vebilvâlideyni iḥsânev veẕi-lḳurbâ velyetâmâ velmesâkîni veḳûlû linnâsi ḥusnev veeḳîmu-ṣṣalâte veâtu-zzekâh. ŝumme tevelleytum illâ ḳalîlem minkum veentum mu`riḍûn.,Abay Yazılışı
91,2,84,veiẕ eḫaẕnâ mîŝâḳakum lâ tesfikûne dimâekum velâ tuḫricûne enfusekum min diyârikum ŝumme aḳrartum veentum teşhedûn.,Abay Yazılışı
92,2,85,ŝumme entum hâulâi taḳtulûne enfusekum vetuḫricûne ferîḳam minkum min diyârihim. teżâherûne `aleyhim bil'iŝmi vel`udvân. veiy ye'tûkum usârâ tufâdûhum vehuve muḥarramun `aleykum iḫrâcuhum. efetu'minûne biba`ḍi-lkitâbi vetekfurûne biba`ḍ. femâ cezâu mey yef`alu ẕâlike minkum illâ ḫizyun fi-lḥayâti-ddunyâ. veyevme-lḳiyâmeti yuraddûne ilâ eşeddi-l`aẕâb. veme-llâhu bigâfilin `ammâ ta`melûn.,Abay Yazılışı
93,2,86,ulâike-lleẕîne-şteravu-lḥayâte-ddunyâ bil'âḫirati. felâ yuḫaffefu `anhumu-l`aẕâbu velâ hum yunṣarûn.,Abay Yazılışı
94,2,87,veleḳad âteynâ mûse-lkitâbe veḳaffeynâ mim ba`dihî birrusuli veâteynâ `îse-bne meryeme-lbeyyinâti veeyyednâhu birûḥi-lḳudus. efekullemâ câekum rasûlum bimâ lâ tehvâ enfusukumu-stekbertum. feferîḳan keẕẕebtum veferîḳan taḳtulûn.,Abay Yazılışı
95,2,88,veḳâlû ḳulûbunâ gulf. bel le`anehumu-llâhu bikufrihim feḳalîlem mâ yu'minûn.,Abay Yazılışı
96,2,89,velemmâ câehum kitâbum min `indi-llâhi muṣaddiḳul limâ me`ahum vekânû min ḳablu yesteftiḥûne `ale-lleẕîne keferû. felemmâ câehum mâ `arafû keferû bih. fela`netu-llâhi `ale-lkâfirîn.,Abay Yazılışı
97,2,90,bi'seme-şterav bihî enfusehum ey yekfurû bimâ enzele-llâhu bagyen ey yunezzile-llâhu min faḍlihî `alâ mey yeşâu min `ibâdih. febâû bigaḍabin `alâ gaḍab. velilkâfirîne `aẕâbum muhîn.,Abay Yazılışı
98,2,91,veiẕâ ḳîle lehum âminû bimâ enzele-llâhu ḳâlû nu'minu bimâ unzile `aleynâ veyekfurûne bimâ verâehû vehuve-lḥaḳḳu muṣaddiḳal limâ me`ahum. ḳul felime taḳtulûne embiyâe-llâhi min ḳablu in kuntum mu'minîn.,Abay Yazılışı
99,2,92,veleḳad câekum mûsâ bilbeyyinâti ŝumme-tteḫaẕtumu-l`icle mim ba`dihî veentum żâlimûn.,Abay Yazılışı
100,2,93,veiẕ eḫaẕnâ mîŝâḳakum verafa`nâ fevḳakumu-ṭṭûr. ḫuẕû mâ âteynâkum biḳuvvetiv vesme`û. ḳâlû semi`nâ ve`aṣaynâ veuşribû fî ḳulûbihimu-l`icle bikufrihim. ḳul bi'semâ ye'murukum bihî îmânukum in kuntum mu'minîn.,Abay Yazılışı
101,2,94,ḳul in kânet lekumu-ddâru-l'âḫiratu `inde-llâhi ḫâliṣatem min dûni-nnâsi fetemennevu-lmevte in kuntum ṣâdiḳîn.,Abay Yazılışı
102,2,95,veley yetemennevhu ebedem bimâ ḳaddemet eydîhim. vellâhu `alîmum biżżâlimîn.,Abay Yazılışı
103,2,96,veletecidennehum aḥraṣa-nnâsi `alâ ḥayâh. vemine-lleẕîne eşrakû yeveddu eḥaduhum lev yu`ammeru elfe seneh. vemâ huve bimuzaḥziḥihî mine-l`aẕâbi ey yu`ammer. vellâhu beṣîrum bimâ ya`melûn.,Abay Yazılışı
104,2,97,ḳul men kâne `aduvvel licibrîle feinnehû nezzelehû `alâ ḳalbike biiẕni-llâhi muṣaddiḳal limâ beyne yedeyhi vehudev vebuşrâ lilmu'minîn.,Abay Yazılışı
105,2,98,men kâne `aduvvel lillâhi vemelâiketihî verusulihî vecibrîle vemîkâle feinne-llâhe `aduvvul lilkâfirîn.,Abay Yazılışı
106,2,99,veleḳad enzelnâ ileyke âyâtim beyyinât. vemâ yekfuru bihâ ille-lfâsiḳûn.,Abay Yazılışı
107,2,100,evekullemâ `âhedû `ahden nebeẕehû ferîḳum minhum. bel ekŝeruhum lâ yu'minûn.,Abay Yazılışı
108,2,101,velemmâ câehum rasûlum min `indi-llâhi muṣaddiḳul limâ me`ahum nebeẕe ferîḳum mine-lleẕîne ûtu-lkitâb. kitâbe-llâhi verâe żuhûrihim keennehum lâ ya`lemûn.,Abay Yazılışı
109,2,102,vettebe`û mâ tetlu-şşeyâṭînu `alâ mulki suleymân. vemâ kefera suleymânu velâkinne-şşeyâṭîne keferû yu`allimûne-nnâse-ssiḥr. vemâ unzile `ale-lmelekeyni bibâbile hârûte vemârût. vemâ yu`allimâni min eḥadin ḥattâ yeḳûlâ innemâ naḥnu fitnetun felâ tekfur. feyete`allemûne minhumâ mâ yuferriḳûne bihî beyne-lmer'i vezevcih. vemâ hum biḍârrîne bihî min eḥadin illâ biiẕni-llâh. veyete`allemûne mâ yeḍurruhum velâ yenfe`uhum. veleḳad `alimû lemeni-şterâhu mâ lehû fi-l'âḫirati min ḫalâḳ. velebi'se mâ şerav bihî enfusehum. lev kânû ya`lemûn.,Abay Yazılışı
110,2,103,velev ennehum âmenû vetteḳav lemeŝûbetum min `indi-llâhi ḫayr. lev kânû ya`lemûn.,Abay Yazılışı
111,2,104,yâ eyyuhe-lleẕîne âmenû lâ teḳûlû râ`inâ veḳûlu-nẕurnâ vesme`û. velilkâfirîne `aẕâbun elîm.,Abay Yazılışı
112,2,105,mâ yeveddu-lleẕîne keferû min ehli-lkitâbi vele-lmuşrikîne ey yunezzele `aleykum min ḫayrim mir rabbikum. vellâhu yaḫteṣṣu biraḥmetihî mey yeşâ'. vellâhu ẕu-lfaḍli-l`ażîm.,Abay Yazılışı
113,2,106,mâ nensaḫ min âyetin ev nunsihâ ne'ti biḫayrim minhâ ev miŝlihâ. elem ta`lem enne-llâhe `alâ kulli şey'in ḳadîr.,Abay Yazılışı
114,2,107,elem ta`lem enne-llâhe lehû mulku-ssemâvâti vel'arḍ. vemâ lekum min dûni-llâhi miv veliyyiv velâ neṣîr.,Abay Yazılışı
115,2,108,em turîdûne en tes'elû rasûlekum kemâ suile mûsâ min ḳabl. vemey yetebeddeli-lkufra bil'îmâni feḳad ḍalle sevâe-ssebîl.,Abay Yazılışı
116,2,109,vedde keŝîrum min ehli-lkitâbi lev yeruddûnekum mim ba`di îmânikum kuffârâ. ḥasedem min `indi enfusihim mim ba`di mâ tebeyyene lehumu-lḥaḳḳ. fa`fû vaṣfeḥû ḥattâ ye'tiye-llâhu biemrih. inne-llâhe `alâ kulli şey'in ḳadîr.,Abay Yazılışı
117,2,110,veeḳîmu-ṣṣalâte veâtu-zzekâh. vemâ tuḳaddimû lienfusikum min ḫayrin tecidûhu `inde-llâh. inne-llâhe bimâ ta`melûne beṣîr.,Abay Yazılışı
118,2,111,veḳâlû ley yedḫule-lcennete illâ men kâne hûden ev neṣârâ. tilke emâniyyuhum. ḳul hâtû burhânekum in kuntum ṣâdiḳîn.,Abay Yazılışı
119,2,112,belâ men esleme vechehû lillâhi vehuve muḥsinun felehû ecruhû `inde rabbih. velâ ḫavfun `aleyhim velâ hum yaḥzenûn.,Abay Yazılışı
120,2,113,veḳâleti-lyehûdu leyseti-nneṣârâ `alâ şey'. veḳâleti-nneṣârâ leyseti-lyehûdu `alâ şey'iv vehum yetlûne-lkitâb. keẕâlike ḳâle-lleẕîne lâ ya`lemûne miŝle ḳavlihim. fellâhu yaḥkumu beynehum yevme-lḳiyâmeti fîmâ kânû fîhi yaḫtelifûn.,Abay Yazılışı
121,2,114,vemen ażlemu mimmem mene`a mesâcide-llâhi ey yuẕkera fîhe-smuhû vese`â fî ḫarâbihâ. ulâike mâ kâne lehum ey yedḫulûhâ illâ ḫâifîn. lehum fi-ddunyâ ḫizyuv velehum fi-l'âḫirati `aẕâbun `ażîm.,Abay Yazılışı
122,2,115,velillâhi-lmeşriḳu velmagribu feeynemâ tuvellû feŝemme vechu-llâh. inne-llâhe vâsi`un `alîm.,Abay Yazılışı
123,2,116,veḳâlu-tteḫaẕe-llâhu veleden subḥâneh. bel lehû mâ fi-ssemâvâti vel'arḍ. kullul lehû ḳânitûn.,Abay Yazılışı
124,2,117,bedî`u-ssemâvâti vel'arḍ. veiẕâ ḳaḍâ emran feinnemâ yeḳûlu lehû kun feyekûn.,Abay Yazılışı
125,2,118,veḳâle-lleẕîne lâ ya`lemûne levlâ yukellimune-llâhu ev te'tînâ âyeh. keẕâlike ḳâle-lleẕîne min ḳablihim miŝle ḳavlihim. teşâbehet ḳulûbuhum. ḳad beyyenne-l'âyâti liḳavmiy yûḳinûn.,Abay Yazılışı
126,2,119,innâ erselnâke bilḥaḳḳi beşîrav veneẕîrav velâ tus'elu `an aṣḥâbi-lceḥîm.,Abay Yazılışı
127,2,120,velen terḍâ `anke-lyehûdu vele-nneṣârâ ḥattâ tettebi`a milletehum. ḳul inne hude-llâhi huve-lhudâ. veleini-tteba`te ehvâehum ba`de-lleẕî câeke mine-l`ilmi mâ leke mine-llâhi miv veliyyiv velâ neṣîr.,Abay Yazılışı
128,2,121,elleẕîne âteynâhumu-lkitâbe yetlûnehû ḥaḳḳa tilâvetih. ulâike yu'minûne bih. vemey yekfur bihî feulâike humu-lḫâsirûn.,Abay Yazılışı
129,2,122,yâ benî isrâîle-ẕkurû ni`metiye-lletî en`amtu `aleykum veennî feḍḍaltukum `ale-l`âlemîn.,Abay Yazılışı
130,2,123,vetteḳû yevmel lâ teczî nefsun `an nefsin şey'ev velâ yuḳbelu minhâ `adluv velâ tenfe`uhâ şefâ`atuv velâ hum yunṣarûn.,Abay Yazılışı
131,2,124,veiẕi-btelâ ibrâhîme rabbuhû bikelimâtin feetemmehunn. ḳâle innî câ`iluke linnâsi imâmâ. ḳâle vemin ẕurriyyetî. ḳâle lâ yenâlu `ahdi-żżâlimîn.,Abay Yazılışı
132,2,125,veiẕ ce`alne-lbeyte meŝâbetel linnâsi veemnâ. vetteḫiẕû mim meḳâmi ibrâhîme muṣallâ. ve`ahidnâ ilâ ibrâhîme veismâ`île en ṭahhirâ beytiye liṭṭâifîne vel`âkifîne verrukke`i-ssucûd.,Abay Yazılışı
