sira,sure,ayet,metin,hoca
23,2,16,"It is they who bought the straying, at the expense of guidance. Such trade never prospers, nor do they receive any guidance.",Rashad Khalifa
24,2,17,"Their example is like those who start a fire, then, as it begins to shed light around them, GOD takes away their light, leaving them in darkness, unable to see.",Rashad Khalifa
25,2,18,"Deaf, dumb, and blind; they fail to return.",Rashad Khalifa
26,2,19,"Another example: a rainstorm from the sky in which there is darkness, thunder, and lightning. They put their fingers in their ears, to evade death. GOD is fully aware of the disbelievers.",Rashad Khalifa
27,2,20,"The lightning almost snatches away their eyesight. When it lights for them, they move forward, and when it turns dark, they stand still. If GOD wills, He can take away their hearing and their eyesight. GOD is Omnipotent.",Rashad Khalifa
28,2,21,"O people, worship only your Lord - the One who created you and those before you - that you may be saved.",Rashad Khalifa
29,2,22,"The One who made the earth habitable for you, and the sky a structure. He sends down from the sky water, to produce all kinds of fruits for your sustenance. You shall not set up idols to rival GOD, now that you know.",Rashad Khalifa
30,2,23,"If you have any doubt regarding what we revealed to our servant, then produce one sura like these, and call upon your own witnesses against GOD, if you are truthful.,",Rashad Khalifa
31,2,24,"If you cannot do this - and you can never do this - then beware of the Hellfire, whose fuel is people and rocks; it awaits the disbelievers.",Rashad Khalifa
32,2,25,"Give good news to those who believe and lead a righteous life that they will have gardens with flowing streams. When provided with a provision of fruits therein, they will say, ""This is what was provided for us previously."" Thus, they are given allegorical descriptions. They will have pure spouses therein, and they abide therein forever.",Rashad Khalifa
33,2,26,"GOD does not shy away from citing any kind of allegory , from the tiny mosquito and greater. As for those who believe, they know that it is the truth from their Lord. As for those who disbelieve, they say, ""What did GOD mean by such an allegory?"" He misleads many thereby, and guides many thereby. But He never misleads thereby except the wicked,",Rashad Khalifa
34,2,27,"who violate GOD's covenant after pledging to uphold it, sever what GOD has commanded to be joined, and commit evil. These are the losers. Two Deaths and Two Lives for the Disbelievers*",Rashad Khalifa
35,2,28,"How can you disbelieve in GOD when you were dead and He gave you life, then He puts you to death, then He brings you back to life, then to Him you ultimately return?,",Rashad Khalifa
36,2,29,"He is the One who created for you everything on earth, then turned to the sky and perfected seven universes therein, and He is fully aware of all things.",Rashad Khalifa
37,2,30,"Recall that your Lord said to the angels, ""I am placing a representative (a temporary god) on Earth."" They said, ""Will You place therein one who will spread evil therein and shed blood, while we sing Your praises, glorify You, and uphold Your absolute authority?"" He said, ""I know what you do not know.""",Rashad Khalifa
38,2,31,"He taught Adam all the names then presented them to the angels, saying, ""Give me the names of these, if you are right."",",Rashad Khalifa
39,2,32,"They said, ""Be You glorified, we have no knowledge, except that which You have taught us. You are the Omniscient, Most Wise.""",Rashad Khalifa
40,2,33,"He said, ""O Adam, tell them their names."" When he told them their names, He said, ""Did I not tell you that I know the secrets of the heavens and the earth? I know what you declare, and what you conceal.""",Rashad Khalifa
41,2,34,"When we said to the angels, ""Fall prostrate before Adam,"" they fell prostrate, except Satan; he refused, was too arrogant, and a disbeliever.",Rashad Khalifa
42,2,35,"We said, ""O Adam, live with your wife in Paradise, and eat therefrom generously, as you please, but do not approach this tree, lest you sin.""",Rashad Khalifa
43,2,36,"But the devil duped them, and caused their eviction therefrom. We said, ""Go down as enemies of one another. On Earth shall be your habitation and provision for awhile.""",Rashad Khalifa
44,2,37,"Then, Adam received from his Lord words, whereby He redeemed him. He is the Redeemer, Most Merciful.",Rashad Khalifa
45,2,38,"We said, ""Go down therefrom, all of you. When guidance comes to you from Me, those who follow My guidance will have no fear, nor will they grieve.",Rashad Khalifa
46,2,39,"""As for those who disbelieve and reject our revelations, they will be dwellers of Hell, wherein they abide forever.""",Rashad Khalifa
47,2,40,"O Children of Israel, remember My favor, which I bestowed upon you, and fulfill your part of the covenant, that I fulfill My part of the covenant, and reverence Me.",Rashad Khalifa
48,2,41,"You shall believe in what I have revealed herein, confirming what you have; do not be the first to reject it. Do not trade away My revelations for a cheap price, and observe Me.",Rashad Khalifa
49,2,42,"Do not confound the truth with falsehood, nor shall you conceal the truth, knowingly.",Rashad Khalifa
50,2,43,"You shall observe the Contact Prayers (Salat) and give the obligatory charity (Zakat), and bow down with those who bow down.",Rashad Khalifa
51,2,44,"Do you exhort the people to be righteous, while forgetting yourselves, though you read the scripture? Do you not understand?",Rashad Khalifa
52,2,45,"You shall seek help through steadfastness and the Contact Prayers (Salat). This is difficult indeed, but not so for the reverent,",Rashad Khalifa
53,2,46,who believe that they will meet their Lord; that to Him they ultimately return.,Rashad Khalifa
54,2,47,"O Children of Israel, remember My favor which I bestowed upon you, and that I blessed you more than any other people.",Rashad Khalifa
55,2,48,"Beware of the day when no soul can avail another soul, no intercession will be accepted, no ransom can be paid, nor can anyone be helped.",Rashad Khalifa
56,2,49,"Recall that we saved you from Pharaoh's people who inflicted upon you the worst persecution, slaying your sons and sparing your daughters. That was an exacting test from your Lord.",Rashad Khalifa
57,2,50,Recall that we parted the sea for you; we saved you and drowned Pharaoh's people before your eyes.,Rashad Khalifa
58,2,51,"Yet, when we summoned Moses for forty nights, you worshipped the calf in his absence, and turned wicked.",Rashad Khalifa
59,2,52,"Still, we pardoned you thereafter that you may be appreciative.",Rashad Khalifa
60,2,53,"Recall that we gave Moses scripture and the statute book, that you may be guided.",Rashad Khalifa
61,2,54,"Recall that Moses said to his people, ""O my people, you have wronged your souls by worshipping the calf. You must repent to your Creator. You shall kill your egos. This is better for you in the sight of your Creator."" He did redeem you. He is the Redeemer, Most Merciful.",Rashad Khalifa
62,2,55,"Recall that you said, ""O Moses, we will not believe unless we see GOD, physically."" Consequently, the lightning struck you, as you looked.",Rashad Khalifa
63,2,56,"We then revived you, after you had died, that you may be appreciative.",Rashad Khalifa
64,2,57,"We shaded you with clouds (in Sinai), and sent down to you manna and quails: ""Eat from the good things we provided for you."" They did not hurt us (by rebelling); they only hurt their own souls.",Rashad Khalifa
65,2,58,"Recall that we said, ""Enter this town, where you will find as many provisions as you like. Just enter the gate humbly, and treat the people nicely. We will then forgive your sins, and increase the reward for the pious.""",Rashad Khalifa
66,2,59,"But the wicked among them carried out commands other than the commands given to them. Consequently, we sent down upon the transgressors condemnation from the sky, due to their wickedness.",Rashad Khalifa
67,2,60,"Recall that Moses sought water for his people. We said, ""Strike the rock with your staff."" Whereupon, twelve springs gushed out therefrom. The members of each tribe knew their own water. Eat and drink from GOD's provisions, and do not roam the earth corruptingly.",Rashad Khalifa
68,2,61,"Recall that you said, ""O Moses, we can no longer tolerate one kind of food. Call upon your Lord to produce for us such earthly crops as beans, cucumbers, garlic, lentils, and onions."" He said, ""Do you wish to substitute that which is inferior for that which is good? Go down to Egypt, where you can find what you asked for."" They have incurred condemnation, humiliation, and disgrace, and brought upon themselves wrath from GOD. This is because they rejected GOD's revelations, and killed the prophets unjustly. This is because they disobeyed and transgressed.",Rashad Khalifa
69,2,62,"Surely, those who believe, those who are Jewish, the Christians, and the converts; anyone who (1) believes in GOD, and (2) believes in the Last Day, and (3) leads a righteous life, will receive their recompense from their Lord. They have nothing to fear, nor will they grieve.",Rashad Khalifa
70,2,63,"We made a covenant with you, as we raised Mount Sinai above you: ""You shall uphold what we have given you strongly, and remember its contents, that you may be saved.""",Rashad Khalifa
71,2,64,"But you turned away thereafter, and if it were not for GOD's grace towards you and His mercy, you would have been doomed.",Rashad Khalifa
72,2,65,"You have known about those among you who desecrated the Sabbath. We said to them, ""Be you as despicable as apes.""",Rashad Khalifa
73,2,66,"We set them up as an example for their generation, as well as subsequent generations, and an enlightenment for the righteous.",Rashad Khalifa
74,2,67,"Moses said to his people, ""GOD commands you to sacrifice a heifer."" They said, ""Are you mocking us?"" He said, ""GOD forbid, that I should behave like the ignorant ones.""",Rashad Khalifa
75,2,68,"They said, ""Call upon your Lord to show us which one."" He said, ""He says that she is a heifer that is neither too old, nor too young; of an intermediate age. Now, carry out what you are commanded to do.""",Rashad Khalifa
76,2,69,"They said, ""Call upon your Lord to show us her color."" He said, ""He says that she is a yellow heifer, bright colored, pleases the beholders.""",Rashad Khalifa
77,2,70,"They said, ""Call upon your Lord to show us which one. The heifers look alike to us and, GOD willing, we will be guided.""",Rashad Khalifa
78,2,71,"He said, ""He says that she is a heifer that was never humiliated in plowing the land or watering the crops; free from any blemish."" They said, ""Now you have brought the truth."" They finally sacrificed her, after this lengthy reluctance.",Rashad Khalifa
79,2,72,"You had killed a soul, then disputed among yourselves. GOD was to expose what you tried to conceal.",Rashad Khalifa
80,2,73,"We said, ""Strike (the victim) with part (of the heifer)."" That is when GOD brought the victim back to life, and showed you His signs, that you may understand.",Rashad Khalifa
81,2,74,"Despite this, your hearts hardened like rocks, or even harder. For there are rocks from which rivers gush out. Others crack and release gentle streams, and other rocks cringe out of reverence for GOD. GOD is never unaware of anything you do.",Rashad Khalifa
82,2,75,"Do you expect them to believe as you do, when some of them used to hear the word of GOD, then distort it, with full understanding thereof, and deliberately?",Rashad Khalifa
83,2,76,"And when they meet the believers, they say, ""We believe,"" but when they get together with each other, they say, ""Do not inform (the believers)of the information given to you by GOD, lest you provide them with support for their argument concerning your Lord. Do you not understand?""",Rashad Khalifa
84,2,77,"Do they not know that GOD knows everything they conceal, and everything they declare?",Rashad Khalifa
85,2,78,"Among them are gentiles who do not know the scripture, except through hearsay, then assume that they know it.",Rashad Khalifa
86,2,79,"Therefore, woe to those who distort the scripture with their own hands, then say, ""This is what GOD has revealed,"" seeking a cheap material gain. Woe to them for such distortion, and woe to them for their illicit gains.",Rashad Khalifa
87,2,80,"Some have said, ""Hell will not touch us, except for a limited number of days."" Say, ""Have you taken such a pledge from GOD - GOD never breaks His pledge - or, are you saying about GOD what you do not know?""",Rashad Khalifa
88,2,81,"Indeed, those who earn sins and become surrounded by their evil work will be the dwellers of Hell; they abide in it forever.",Rashad Khalifa
89,2,82,"As for those who believe, and lead a righteous life, they will be the dwellers of Paradise; they abide in it forever.",Rashad Khalifa
90,2,83,"We made a covenant with the Children of Israel: ""You shall not worship except GOD. You shall honor your parents and regard the relatives, the orphans, and the poor. You shall treat the people amicably. You shall observe the Contact Prayers (Salat) and give the obligatory charity (Zakat)."" But you turned away, except a few of you, and you became averse.",Rashad Khalifa
91,2,84,"We made a covenant with you, that you shall not shed your blood, nor shall you evict each other from your homes. You agreed and bore witness.",Rashad Khalifa
92,2,85,"Yet, here you are killing each other, and evicting some of you from their homes, banding against them sinfully and maliciously. Even when they surrendered, you demanded ransom from them. Evicting them was prohibited for you in the first place. Do you believe in part of the scripture and disbelieve in part? What should be the retribution for those among you who do this, except humiliation in this life, and a far worse retribution on the Day of Resurrection? GOD is never unaware of anything you do.",Rashad Khalifa
93,2,86,"It is they who bought this lowly life at the expense of the Hereafter. Consequently, the retribution is never commuted for them, nor can they be helped.",Rashad Khalifa
94,2,87,"We gave Moses the scripture, and subsequent to him we sent other messengers, and we gave Jesus, son of Mary, profound miracles and supported him with the Holy Spirit. Is it not a fact that every time a messenger went to you with anything you disliked, your ego caused you to be arrogant? Some of them you rejected, and some of them you killed.",Rashad Khalifa
95,2,88,"Some would say, ""Our minds are made up!"" Instead, it is a curse from GOD, as a consequence of their disbelief, that keeps them from believing, except for a few of them.",Rashad Khalifa
96,2,89,"When this scripture came to them from GOD, and even though it agrees with, and confirms what they have, and even though they used to prophesy its advent when they talked with the disbelievers, when their own prophecy came to pass, they disbelieved therein. GOD's condemnation thus afflicts the disbelievers.",Rashad Khalifa
97,2,90,"Miserable indeed is what they sold their souls for - rejecting these revelations of GOD out of sheer resentment that GOD should bestow His grace upon whomever He chooses from among His servants. Consequently, they incurred wrath upon wrath. The disbelievers have incurred a humiliating retribution.",Rashad Khalifa
98,2,91,"When they are told, ""You shall believe in these revelations of GOD,"" they say, ""We believe only in what was sent down to us."" Thus, they disbelieve in subsequent revelations, even if it is the truth from their Lord, and even though it confirms what they have! Say, ""Why then did you kill GOD's prophets, if you were believers?""",Rashad Khalifa
99,2,92,"Moses went to you with profound miracles, yet you worshipped the calf in his absence, and you turned wicked.",Rashad Khalifa
100,2,93,"We made a covenant with you, as we raised Mount Sinai above you, saying, ""You shall uphold the commandments we have given you, strongly, and listen."" They said, ""We hear, but we disobey."" Their hearts became filled with adoration for the calf, due to their disbelief. Say, ""Miserable indeed is what your faith dictates upon you, if you do have any faith.""",Rashad Khalifa
101,2,94,"Say, ""If the abode of the Hereafter is reserved for you at GOD, to the exclusion of all other people, then you should long for death, if you are truthful.""",Rashad Khalifa
102,2,95,"They never long for it, because of what their hands have sent forth. GOD is fully aware of the wicked.",Rashad Khalifa
103,2,96,"In fact, you will find them the most covetous of life; even more so than the idol worshipers. The one of them wishes to live a thousand years. But this will not spare him any retribution, no matter how long he lives. GOD is seer of everything they do.",Rashad Khalifa
104,2,97,"Say, ""Anyone who opposes Gabriel should know that he has brought down this (Quran) into your heart, in accordance with GOD's will, confirming previous scriptures, and providing guidance and good news for the believers.""",Rashad Khalifa
105,2,98,"Anyone who opposes GOD, and His angels, and His messengers, and Gabriel and Michael, should know that GOD opposes the disbelievers.",Rashad Khalifa
106,2,99,"We have sent down to you such clear revelations, and only the wicked will reject them.",Rashad Khalifa
107,2,100,"Is it not a fact that when they make a covenant and pledge to keep it, some of them always disregard it? In fact, most of them do not believe.",Rashad Khalifa
108,2,101,"Now that a messenger from GOD has come to them, and even though he proves and confirms their own scripture, some followers of the scripture (Jews, Christians, and Muslims) disregard GOD's scripture behind their backs, as if they never had any scripture.,",Rashad Khalifa
109,2,102,"They pursued what the devils taught concerning Solomon's kingdom. Solomon, however, was not a disbeliever, but the devils were disbelievers. They taught the people sorcery, and that which was sent down through the two angels of Babel, Haroot and Maroot. These two did not divulge such knowledge without pointing out: ""This is a test. You shall not abuse such knowledge."" But the people used it in such evil schemes as the breaking up of marriages. They can never harm anyone against the will of GOD. They thus learn what hurts them, not what benefits them, and they know full well that whoever practices witchcraft will have no share in the Hereafter. Miserable indeed is what they sell their souls for, if they only knew.",Rashad Khalifa
110,2,103,"If they believe and lead a righteous life, the reward from GOD is far better, if they only knew.",Rashad Khalifa
111,2,104,"O you who believe, do not say, ""Raa'ena"" (be our shepherd). Instead, you should say, ""Unzurna"" (watch over us), and listen. The disbelievers have incurred a painful retribution.,",Rashad Khalifa
112,2,105,"Neither the disbelievers among the followers of the scripture, nor the idol worshipers, wish to see any blessings come down to you from your Lord. However, GOD showers His blessings upon whomever He chooses. GOD possesses infinite grace.",Rashad Khalifa
113,2,106,"When we abrogate any miracle, or cause it to be forgotten, we produce a better miracle, or at least an equal one. Do you not recognize the fact that GOD is Omnipotent?",Rashad Khalifa
114,2,107,Do you not recognize the fact that GOD possesses the kingship of the heavens and the earth; that you have none besides GOD as your Lord and Master?,Rashad Khalifa
115,2,108,"Do you wish to demand of your messenger what was demanded of Moses in the past? Anyone who chooses disbelief, instead of belief, has truly strayed off the right path.",Rashad Khalifa
116,2,109,"Many followers of the scripture would rather see you revert to disbelief, now that you have believed. This is due to jealousy on their part, after the truth has become evident to them. You shall pardon them, and leave them alone, until GOD issues His judgment. GOD is Omnipotent.",Rashad Khalifa
117,2,110,"You shall observe the Contact Prayers (Salat) and give the obligatory charity (Zakat). Any good you send forth on behalf of your souls, you will find it at GOD. GOD is seer of everything you do.",Rashad Khalifa
118,2,111,"Some have said, ""No one will enter Paradise except Jews or Christians!"" Such is their wishful thinking. Say, ""Show us your proof, if you are right."",",Rashad Khalifa
119,2,112,"Indeed, those who submit themselves absolutely to GOD alone, while leading a righteous life, will receive their recompense from their Lord; they have nothing to fear, nor will they grieve.",Rashad Khalifa
120,2,113,"The Jews said, ""The Christians have no basis,"" while the Christians said, ""The Jews have no basis."" Yet, both of them read the scripture. Such are the utterances of those who possess no knowledge. GOD will judge them on the Day of Resurrection, regarding their disputes.",Rashad Khalifa
121,2,114,"Who are more evil than those who boycott GOD's masjids, where His name is commemorated, and contribute to their desertion? These ought not to enter therein except fearfully. They will suffer in this life humiliation, and will suffer in the Hereafter a terrible retribution.",Rashad Khalifa
122,2,115,"To GOD belongs the east and the west; wherever you go there will be the presence of GOD. GOD is Omnipresent, Omniscient.",Rashad Khalifa
123,2,116,"They said, ""GOD has begotten a son!"" Be He glorified; never! To Him belongs everything in the heavens and the earth; all are subservient to Him.",Rashad Khalifa
124,2,117,"The Initiator of the heavens and the earth: to have anything done, He simply says to it, ""Be,"" and it is.",Rashad Khalifa
125,2,118,"Those who possess no knowledge say, ""If only GOD could speak to us, or some miracle could come to us!"" Others before them have uttered similar utterances; their minds are similar. We do manifest the miracles for those who have attained certainty.",Rashad Khalifa
126,2,119,"We have sent you with the truth as a bearer of good news, as well as a warner. You are not answerable for those who incur Hell.",Rashad Khalifa
127,2,120,"Neither the Jews, nor the Christians, will accept you, unless you follow their religion. Say, ""GOD's guidance is the true guidance."" If you acquiesce to their wishes, despite the knowledge you have received, you will find no ally or supporter to help you against GOD.",Rashad Khalifa
128,2,121,"Those who received the scripture, and know it as it should be known, will believe in this. As for those who disbelieve, they are the losers.",Rashad Khalifa
129,2,122,"O Children of Israel, remember My favor which I bestowed upon you, and that I blessed you more than any other people.",Rashad Khalifa
130,2,123,"Beware of the day when no soul will help another soul, no ransom will be accepted, no intercession will be useful, and no one will be helped.",Rashad Khalifa
131,2,124,"Recall that Abraham was put to the test by his Lord, through certain commands, and he fulfilled them. (God) said, ""I am appointing you an imam for the people."" He said, ""And also my descendants?"" He said, ""My covenant does not include the transgressors.""",Rashad Khalifa
132,2,125,"We have rendered the shrine (the Ka'aba) a focal point for the people, and a safe sanctuary. You may use Abraham's shrine as a prayer house. We commissioned Abraham and Ismail: ""You shall purify My house for those who visit, those who live there, and those who bow and prostrate.""",Rashad Khalifa
133,2,126,"Abraham prayed: ""My Lord, make this a peaceful land, and provide its people with fruits. Provide for those who believe in GOD and the Last Day."" (God) said, ""I will also provide for those who disbelieve. I will let them enjoy, temporarily, then commit them to the retribution of Hell, and a miserable destiny.""",Rashad Khalifa
134,2,127,"As Abraham raised the foundations of the shrine, together with Ismail (they prayed): ""Our Lord, accept this from us. You are the Hearer, the Omniscient.",Rashad Khalifa
135,2,128,"""Our Lord, make us submitters to You, and from our descendants let there be a community of submitters to You. Teach us the rites of our religion, and redeem us. You are the Redeemer, Most Merciful.",Rashad Khalifa
136,2,129,"""Our Lord, and raise among them a messenger to recite to them Your revelations, teach them the scripture and wisdom, and purify them. You are the Almighty, Most Wise.""",Rashad Khalifa
137,2,130,"Who would forsake the religion of Abraham, except one who fools his own soul? We have chosen him in this world, and in the Hereafter he will be with the righteous.",Rashad Khalifa
138,2,131,"When his Lord said to him, ""Submit,"" he said, ""I submit to the Lord of the universe.""",Rashad Khalifa
139,2,132,"Moreover, Abraham exhorted his children to do the same, and so did Jacob: ""O my children, GOD has pointed out the religion for you; do not die except as submitters.""",Rashad Khalifa
140,2,133,"Had you witnessed Jacob on his death bed; he said to his children, ""What will you worship after I die?"" They said, ""We will worship your god; the god of your fathers Abraham, Ismail, and Isaac; the one god. To Him we are submitters.""",Rashad Khalifa
141,2,134,"Such is a community from the past. They are responsible for what they earned, and you are responsible for what you earned. You are not answerable for anything they have done.",Rashad Khalifa
142,2,135,"They said, ""You have to be Jewish or Christian, to be guided."" Say, ""We follow the religion of Abraham - monotheism - he never was an idol worshiper.""",Rashad Khalifa
143,2,136,"Say, ""We believe in GOD, and in what was sent down to us, and in what was sent down to Abraham, Ismail, Isaac, Jacob, and the Patriarchs; and in what was given to Moses and Jesus, and all the prophets from their Lord. We make no distinction among any of them. To Him alone we are submitters.""",Rashad Khalifa
144,2,137,"If they believe as you do, then they are guided. But if they turn away, then they are in opposition. GOD will spare you their opposition; He is the Hearer, the Omniscient.",Rashad Khalifa
145,2,138,"Such is GOD's system, and whose system is better than GOD's? ""Him alone we worship.""",Rashad Khalifa
146,2,139,"Say, ""Do you argue with us about GOD, when He is our Lord and your Lord? We are responsible for our deeds, and you are responsible for your deeds. To Him alone we are devoted.""",Rashad Khalifa
147,2,140,"Do you say that Abraham, Ismail, Isaac, Jacob, and the Patriarchs were Jewish or Christian? Say, ""Do you know better than GOD? Who is more evil than one who conceals a testimony he has learned from GOD? GOD is never unaware of anything you do.""",Rashad Khalifa
148,2,141,"That was a community from the past. They are responsible for what they earned, and you are responsible for what you earned. You are not answerable for anything they did.",Rashad Khalifa
149,2,142,"The fools among the people would say, ""Why did they change the direction of their Qiblah?"" Say, ""To GOD belongs the east and the west; He guides whoever wills in a straight path.""",Rashad Khalifa
150,2,143,"We thus made you an impartial community, that you may serve as witnesses among the people, and the messenger serves as a witness among you. We changed the direction of your original Qiblah only to distinguish those among you who readily follow the messenger from those who would turn back on their heels. It was a difficult test, but not for those who are guided by GOD. GOD never puts your worship to waste. GOD is Compassionate towards the people, Most Merciful.",Rashad Khalifa
151,2,144,"We have seen you turning your face about the sky (searching for the right direction). We now assign a Qiblah that is pleasing to you. Henceforth, you shall turn your face towards the Sacred Masjid. Wherever you may be, all of you shall turn your faces towards it. Those who received the previous scripture know that this is the truth from their Lord. GOD is never unaware of anything they do.",Rashad Khalifa
152,2,145,"Even if you show the followers of the scripture every kind of miracle, they will not follow your Qiblah. Nor shall you follow their Qiblah. They do not even follow each others' Qiblah. If you acquiesce to their wishes, after the knowledge that has come to you, you will belong with the transgressors.",Rashad Khalifa
153,2,146,"Those who received the scripture recognize the truth herein, as they recognize their own children. Yet, some of them conceal the truth, knowingly.",Rashad Khalifa
154,2,147,This is the truth from your Lord; do not harbor any doubt.,Rashad Khalifa
155,2,148,"Each of you chooses the direction to follow; you shall race towards righteousness. Wherever you may be, GOD will summon you all. GOD is Omnipotent.",Rashad Khalifa
156,2,149,"Wherever you go, you shall turn your face (during Salat) towards the Sacred Masjid. This is the truth from your Lord. GOD is never unaware of anything you all do.,",Rashad Khalifa
157,2,150,"Wherever you go, you shall turn your face (during Salat) towards the Sacred Masjid; wherever you might be, you shall turn your faces (during Salat) towards it. Thus, the people will have no argument against you, except the transgressors among them. Do not fear them, and fear Me instead. I will then perfect My blessings upon you, that you may be guided.",Rashad Khalifa
158,2,151,"(Blessings) such as the sending of a messenger from among you to recite our revelations to you, purify you, teach you the scripture and wisdom, and to teach you what you never knew.",Rashad Khalifa
159,2,152,"You shall remember Me, that I may remember you, and be thankful to Me; do not be unappreciative.",Rashad Khalifa
160,2,153,"O you who believe, seek help through steadfastness and the Contact Prayers (Salat). GOD is with those who steadfastly persevere.",Rashad Khalifa
161,2,154,"Do not say of those who are killed in the cause of GOD, ""They are dead."" They are alive at their Lord, but you do not perceive.,",Rashad Khalifa
162,2,155,"We will surely test you through some fear, hunger, and loss of money, lives, and crops. Give good news to the steadfast.,",Rashad Khalifa
163,2,156,"When an affliction befalls them, they say, ""We belong to GOD, and to Him we are returning.""",Rashad Khalifa
164,2,157,These have deserved blessings from their Lord and mercy. These are the guided ones.,Rashad Khalifa
165,2,158,"The knolls of Safa and Marwah are among the rites decreed by GOD. Anyone who observes Hajj or 'Umrah commits no error by traversing the distance between them. If one volunteers more righteous works, then GOD is Appreciative, Omniscient.",Rashad Khalifa
166,2,159,"Those who conceal our revelations and guidance, after proclaiming them for the people in the scripture, are condemned by GOD; they are condemned by all the condemners.",Rashad Khalifa
167,2,160,"As for those who repent, reform, and proclaim, I redeem them. I am the Redeemer, Most Merciful.",Rashad Khalifa
168,2,161,"Those who disbelieve and die as disbelievers, have incurred the condemnation of GOD, the angels, and all the people (on the Day of Judgment).",Rashad Khalifa
169,2,162,"Eternally they abide therein. The retribution is never commuted for them, nor are they reprieved.",Rashad Khalifa
170,2,163,"Your god is one god; there is no god but He, Most Gracious, Most Merciful.",Rashad Khalifa
171,2,164,"In the creation of the heavens and the earth, the alternation of night and day, the ships that roam the ocean for the benefit of the people, the water that GOD sends down from the sky to revive dead land and to spread in it all kinds of creatures, the manipulation of the winds, and the clouds that are placed between the sky and the earth, there are sufficient proofs for people who understand.",Rashad Khalifa
172,2,165,"Yet, some people set up idols to rival GOD, and love them as if they are GOD. Those who believe love GOD the most. If only the transgressors could see themselves when they see the retribution! They will realize then that all power belongs to GOD alone, and that GOD's retribution is awesome.",Rashad Khalifa
173,2,166,"Those who were followed will disown those who followed them. They will see the retribution, and all ties among them will be severed.",Rashad Khalifa
174,2,167,"Those who followed will say, ""If we can get another chance, we will disown them, as they have disowned us now."" GOD thus shows them the consequences of their works as nothing but remorse; they will never exit Hell.",Rashad Khalifa
175,2,168,"O people, eat from the earth's products all that is lawful and good, and do not follow the steps of Satan; he is your most ardent enemy.",Rashad Khalifa
176,2,169,"He only commands you to commit evil and vice, and to say about GOD what you do not know.",Rashad Khalifa
177,2,170,"When they are told, ""Follow what GOD has revealed herein,"" they say, ""We follow only what we found our parents doing."" What if their parents did not understand, and were not guided?",Rashad Khalifa
178,2,171,"The example of such disbelievers is that of parrots who repeat what they hear of sounds and calls, without understanding. Deaf, dumb, and blind; they cannot understand.",Rashad Khalifa
179,2,172,"O you who believe, eat from the good things we provided for you, and be thankful to GOD, if you do worship Him alone.",Rashad Khalifa
180,2,173,"He only prohibits for you the eating of animals that die of themselves (without human interference), blood, the meat of pigs, and animals dedicated to other than GOD. If one is forced (to eat these), without being malicious or deliberate, he incurs no sin. GOD is Forgiver, Most Merciful.",Rashad Khalifa
181,2,174,"Those who conceal GOD's revelations in the scripture, in exchange for a cheap material gain, eat but fire into their bellies. GOD will not speak to them on the Day of Resurrection, nor will He purify them. They have incurred a painful retribution.",Rashad Khalifa
182,2,175,"It is they who chose the straying instead of guidance, and the retribution instead of forgiveness. Consequently, they will have to endure Hell.",Rashad Khalifa
183,2,176,"This is because GOD has revealed this scripture, bearing the truth, and those who dispute the scripture are the most ardent opponents.",Rashad Khalifa
