sira,sure,ayet,metin,hoca,arapca
11,2,4,"Sana indirilene ve senden önce indiri­len(ler)e iman eder, ahiret gününe de kesin bir şekilde inanırlar.",Mehmet Okuyan,وَالَّذ۪ينَ يُؤْمِنُونَ بِمَٓا اُنْزِلَ اِلَيْكَ وَمَٓا اُنْزِلَ مِنْ قَبْلِكَۚ وَبِالْاٰخِرَةِ هُمْ يُوقِنُونَۜ
12,2,5,İşte onlar Rableri tarafından doğru yol üzerindedir ve onlar kurtulanların ta kendileridir.[1],Mehmet Okuyan,اُو۬لٰٓئِكَ عَلٰى هُدًى مِنْ رَبِّهِمْ وَاُو۬لٰٓئِكَ هُمُ الْمُفْلِحُونَ
13,2,6,"Şüphesiz ki kâfir olanları uyarsan da uyarmasan da onlar için birdir, iman etmezler.[1]",Mehmet Okuyan,اِنَّ الَّذ۪ينَ كَفَرُوا سَوَٓاءٌ عَلَيْهِمْ ءَاَنْذَرْتَهُمْ اَمْ لَمْ تُنْذِرْهُمْ لَا يُؤْمِنُونَ
14,2,7,(Bu nedenle) Allah onların kalplerini ve işitme (duyu)larını mühürlemiştir.[1] Gözlerinde de (manevi) perde vardır; onlar için büyük bir azap vardır.,Mehmet Okuyan,خَتَمَ اللّٰهُ عَلٰى قُلُوبِهِمْ وَعَلٰى سَمْعِهِمْۜ وَعَلٰٓى اَبْصَارِهِمْ غِشَاوَةٌۘ وَلَهُمْ عَذَابٌ عَظ۪يمٌ۟
15,2,8,"İnsanlardan öylesi vardır ki asla inanmadıkları hâlde ""Allah'a ve ahiret gününe inandık."" derler.",Mehmet Okuyan,وَمِنَ النَّاسِ مَنْ يَقُولُ اٰمَنَّا بِاللّٰهِ وَبِالْيَوْمِ الْاٰخِرِ وَمَا هُمْ بِمُؤْمِن۪ينَۢ
16,2,9,Onlar Allah'ı ve müminleri (güya) aldatırlar.[1] (Oysa) onlar kendilerinden başkasını aldatamazlar ve (bunun) farkına da varmazlar.,Mehmet Okuyan,يُخَادِعُونَ اللّٰهَ وَالَّذ۪ينَ اٰمَنُواۚ وَمَا يَخْدَعُونَ اِلَّٓا اَنْفُسَهُمْ وَمَا يَشْعُرُونَۜ
17,2,10,Kalplerinde bir hastalık[1] vardır. Allah da (bu nedenlerle) onların hastalığını artırmıştır. Yalanlamaları sebebiyle onlar için elem verici bir azap vardır.[2],Mehmet Okuyan,ف۪ي قُلُوبِهِمْ مَرَضٌۙ فَزَادَهُمُ اللّٰهُ مَرَضاًۚ وَلَهُمْ عَذَابٌ اَل۪يمٌۙ بِمَا كَانُوا يَكْذِبُونَ
18,2,11,"Onlara ""Yeryüzünde bozgunculuk çıkarmayın!"" dendiği zaman, ""Biz ancak ıslah edicileriz."" derler.",Mehmet Okuyan,وَاِذَا ق۪يلَ لَهُمْ لَا تُفْسِدُوا فِي الْاَرْضِۙ  قَالُٓوا اِنَّمَا نَحْنُ مُصْلِحُونَ
19,2,12,Dikkat edin! Onlar bozguncuların ta kendileridir fakat farkına varmazlar.,Mehmet Okuyan,اَلَٓا اِنَّهُمْ هُمُ الْمُفْسِدُونَ وَلٰكِنْ لَا يَشْعُرُونَ
20,2,13,"Onlara ""(Şu) insanların iman ettiği gibi siz de iman edin."" dendiği zaman ""Biz hiç (o) beyinsizlerin iman ettiği gibi iman eder miyiz!"" derler. Dikkat edin! Beyinsizler sadece kendileridir fakat (bunu bile) bilmezler.",Mehmet Okuyan,وَاِذَا ق۪يلَ لَهُمْ اٰمِنُوا كَمَٓا اٰمَنَ النَّاسُ قَالُٓوا اَنُؤْمِنُ كَمَٓا اٰمَنَ السُّفَـهَٓاءُۜ  اَلَٓا اِنَّهُمْ هُمُ السُّفَـهَٓاءُ وَلٰكِنْ لَا يَعْلَمُونَ
21,2,14,"(Bu münafıklar) müminlerle karşılaştıklarında ""(Biz de) iman ettik."" derler.[1] Şeytanları (kafadarları) ile baş başa kaldıklarındaysa ""Biz sizinle beraberiz; biz onlarla (müminlerle) sadece alay ediyoruz."" derler.",Mehmet Okuyan,وَاِذَا لَقُوا الَّذٖينَ اٰمَنُوا قَالُٓوا اٰمَنَّاۚ وَاِذَا خَلَوْا اِلٰى شَيَاطٖينِهِمْۙ قَالُٓوا اِنَّا مَعَكُمْۙ اِنَّمَا نَحْنُ مُسْتَهْزِؤُ۫نَ
22,2,15,(Oysa) Allah onlarla alay eder;[1] (fakat) onlara fırsat vermektedir. Azgınlıkları içinde bocalayıp durmaktadırlar.[2],Mehmet Okuyan,اَللّٰهُ يَسْتَهْزِئُ بِهِمْ وَيَمُدُّهُمْ ف۪ي طُغْيَانِهِمْ يَعْمَهُونَ
23,2,16,İşte onlar hidayet karşılığında sapkınlığı satın alanlardır.[1] Onların (bu) ticareti kazançlı olmamış ve kendileri de doğru yola girmemiştir.[2],Mehmet Okuyan,اُو۬لٰٓئِكَ الَّذ۪ينَ اشْتَرَوُا الضَّلَالَةَ بِالْهُدٰىۖ فَمَا رَبِحَتْ تِجَارَتُهُمْ وَمَا كَانُوا مُهْتَد۪ينَ
24,2,17,"Onların (münafıkların) durumu, (karanlıkta) ateş tutuşturan kişi gibidir. (Ateş), etrafını aydınlattığında Allah onların aydınlığını hemen giderir ve onları karanlıklar içinde bırakır; (hiçbir şey) göremezler.[1]",Mehmet Okuyan,مَثَلُهُمْ كَمَثَلِ الَّذِي اسْتَوْقَدَ نَاراًۚ فَلَمَّٓا اَضَٓاءَتْ مَا حَوْلَهُ ذَهَبَ اللّٰهُ بِنُورِهِمْ وَتَرَكَهُمْ ف۪ي ظُلُمَاتٍ لَا يُبْصِرُونَ
25,2,18,"(Bu gibiler) sağırdır, dilsizdir, kördürler;[1] onlar (gerçeğe) dönmezler.",Mehmet Okuyan,صُمٌّ بُكْمٌ عُمْيٌ فَهُمْ لَا يَرْجِعُونَۙ
26,2,19,"Veya (onların durumu) gökten boşanan, içinde karanlıklar, gök gürültüsü ve şimşek bulunan sağanağa (tutulmuş kişilerin durumu) gibidir. Onlar (münafıklar), yıldırımlardan kaynaklanan ölüm korkusuyla parmaklarını kulaklarına tıkarlar. Allah kâfirleri çepeçevre kuşatandır.",Mehmet Okuyan,اَوْ كَصَيِّبٍ مِنَ السَّمَٓاءِ ف۪يهِ ظُلُمَاتٌ وَرَعْدٌ وَبَرْقٌۚ يَجْعَلُونَ اَصَابِعَهُمْ ف۪ٓي اٰذَانِهِمْ مِنَ الصَّوَاعِقِ حَذَرَ الْمَوْتِۜ وَاللّٰهُ مُح۪يطٌ بِالْكَافِر۪ينَ
27,2,20,"(O esnada) şimşek, neredeyse gözlerini alacakmış (gibi çakar). (Şimşek) onlar için (etrafı) aydınlatınca orada (birazcık) yürürler; üzerlerine karanlık çökünce de oldukları yerde kala kalırlar. Allah dileseydi elbette onların işitme (duyu)larını ve gözlerini giderirdi. Şüphesiz ki Allah her şeye gücü yetendir.",Mehmet Okuyan,يَكَادُ الْبَرْقُ يَخْطَفُ اَبْصَارَهُمْۜ  كُلَّمَٓا اَضَٓاءَ لَهُمْ مَشَوْا ف۪يهِۙ وَاِذَٓا اَظْلَمَ عَلَيْهِمْ قَامُواۜ وَلَوْ شَٓاءَ اللّٰهُ لَذَهَبَ بِسَمْعِهِمْ وَاَبْصَارِهِمْۜ اِنَّ اللّٰهَ عَلٰى كُلِّ شَيْءٍ قَد۪يرٌ۟
28,2,21,Ey insanlar! Sizi ve sizden öncekileri yaratan Rabbinize kulluk ediniz! Umulur ki böylece takvâlı[1] (duyarlı) olursunuz.,Mehmet Okuyan,يَٓا اَيُّهَا النَّاسُ اعْبُدُوا رَبَّكُمُ الَّذ۪ي خَلَقَكُمْ وَالَّذ۪ينَ مِنْ قَبْلِكُمْ لَعَلَّكُمْ تَتَّقُونَۙ
29,2,22,"O (Allah) ki yeri sizin için bir döşek, göğü de bir bina (güçlü bir tavan) yapmıştır. Gökten su indirip onunla size rızık olarak (çeşitli) meyveler çıkarmıştır. Artık (bu gerçeği) bilerek Allah'a ortaklar koşmayın!",Mehmet Okuyan,اَلَّذ۪ي جَعَلَ لَكُمُ الْاَرْضَ فِرَاشاً وَالسَّمَٓاءَ بِنَٓاءًۖ وَاَنْزَلَ مِنَ السَّمَٓاءِ مَٓاءً فَاَخْرَجَ بِه۪ مِنَ الثَّمَرَاتِ رِزْقاً لَكُمْۚ فَلَا تَجْعَلُوا لِلّٰهِ اَنْدَاداً وَاَنْتُمْ تَعْلَمُونَ
30,2,23,"Kulumuza indirdiklerimizden şüphe içindeyseniz, onun (Kur'an'ın) benzeri herhangi bir sure getirin![1] Doğruysanız Allah'tan başka şahitlerinizi (yardımcılarınızı) da çağırın!",Mehmet Okuyan,وَاِنْ كُنْتُمْ ف۪ي رَيْبٍ مِمَّا نَزَّلْنَا عَلٰى عَبْدِنَا فَأْتُوا بِسُورَةٍ مِنْ مِثْلِه۪ۖ وَادْعُوا شُهَدَٓاءَكُمْ مِنْ دُونِ اللّٰهِ اِنْ كُنْتُمْ صَادِق۪ينَ
31,2,24,"(Bunu) yapamazsanız -ki asla yapamayacaksınız-, yakıtı insanlar ve taş olan, kâfirler için hazırlanmış (olacak) ateşten korunun![1]",Mehmet Okuyan,فَاِنْ لَمْ تَفْعَلُوا وَلَنْ تَفْعَلُوا فَاتَّقُوا النَّارَ الَّت۪ي وَقُودُهَا النَّاسُ وَالْحِجَارَةُۚ اُعِدَّتْ لِلْكَافِر۪ينَ
32,2,25,"İman edip iyi işler yapanlara, altlarından ırmaklar akan cennetler olduğunu müjdele! Oradan (cennetlerdeki) herhangi bir meyveden kendilerine her ne zaman rızık verilirse, ""Bu, bize daha önce verilmişti."" demiş (olacaklar)dır. Bu (rızık)lar onlara (dünyadakine) benzer olarak verilecektir.[1] Onlar için orada (cennetlerde) tertemiz eşler[2] de vardır ve onlar orada ebedî[3] kalıcıdır.",Mehmet Okuyan,وَبَشِّرِ الَّذ۪ينَ اٰمَنُوا وَعَمِلُوا الصَّالِحَاتِ اَنَّ لَهُمْ جَنَّاتٍ تَجْر۪ي مِنْ تَحْتِهَا الْاَنْهَارُۜ كُلَّمَا رُزِقُوا مِنْهَا مِنْ ثَمَرَةٍ رِزْقاًۙ قَالُوا هٰذَا الَّذ۪ي رُزِقْنَا مِنْ قَبْلُ وَاُتُوا بِه۪ مُتَشَابِهاًۜ وَلَهُمْ ف۪يهَٓا اَزْوَاجٌ مُطَهَّرَةٌ وَهُمْ ف۪يهَا خَالِدُونَ
33,2,26,"Şüphesiz ki Allah (gerçeği açıklamak için) sivrisinek ve onun da ötesinde herhangi bir varlığı örnek vermekten çekinmez.[1] İman edenler bunun (örneklerin) Rablerinden (gelen) bir gerçek olduğunu bilirler. Kâfir olanlar ise ""Allah böyle örnek vermekle ne kastetmiştir ki?"" derler. (Allah) onunla birçoğunu saptırır; birçoğunu da doğru yola ulaştırır. (Allah) bununla (verdiği örneklerle zaten) yoldan çıkmış olanlardan başkasını saptırmaz.[2]",Mehmet Okuyan,اِنَّ اللّٰهَ لَا يَسْتَحْـي۪ٓ اَنْ يَضْرِبَ مَثَلاً مَا بَعُوضَةً فَمَا فَوْقَهَاۜ  فَاَمَّا الَّذ۪ينَ اٰمَنُوا فَيَعْلَمُونَ اَنَّهُ الْحَقُّ مِنْ رَبِّهِمْۚ  وَاَمَّا الَّذ۪ينَ كَفَرُوا فَيَقُولُونَ مَاذَٓا اَرَادَ اللّٰهُ بِهٰذَا مَثَلاًۢ يُضِلُّ بِه۪ كَث۪يراً وَيَهْد۪ي بِه۪ كَث۪يراًۜ وَمَا يُضِلُّ بِه۪ٓ اِلَّا الْفَاسِق۪ينَۙ
34,2,27,"Allah'a verdikleri sözü sözleştikten sonra bozanlar,[1] Allah'ın birleştirilmesini (gözetilmesini) emrettiği şeyleri kesenler (terk edenler) ve yeryüzünde bozgunculuk çıkaranlar var ya, işte onlar kaybedenlerin ta kendileridir.",Mehmet Okuyan,اَلَّذ۪ينَ يَنْقُضُونَ عَهْدَ اللّٰهِ مِنْ بَعْدِ م۪يثَاقِه۪ۖ وَيَقْطَعُونَ مَٓا اَمَرَ اللّٰهُ بِه۪ٓ اَنْ يُوصَلَ وَيُفْسِدُونَ فِي الْاَرْضِۜ اُو۬لٰٓئِكَ هُمُ الْخَاسِرُونَ
35,2,28,"Siz ölü (cansız)ken size hayat veren Allah'ı nasıl oluyor da inkâr ediyorsunuz! Sonra sizi öldürecek, sonra sizi (tekrar) diriltecek ve sonunda yalnızca O'na döndürüleceksiniz.[1]",Mehmet Okuyan,كَيْفَ تَكْفُرُونَ بِاللّٰهِ وَكُنْتُمْ اَمْوَاتاً فَاَحْيَاكُمْۚ ثُمَّ يُم۪يتُكُمْ ثُمَّ يُحْي۪يكُمْ ثُمَّ اِلَيْهِ تُرْجَعُونَ
36,2,29,"O, yerde ne varsa hepsini sizin için yaratmıştır. Sonra göğe yönelmiş, onu yedi kat[1] olarak (yaratıp) düzenlemiştir. O her şeyi bilendir.[2]",Mehmet Okuyan,هُوَ الَّذ۪ي خَلَقَ لَكُمْ مَا فِي الْاَرْضِ جَم۪يعاً ثُمَّ اسْتَوٰٓى اِلَى السَّمَٓاءِ فَسَوّٰيهُنَّ سَبْعَ سَمٰوَاتٍۜ وَهُوَ بِكُلِّ شَيْءٍ عَل۪يمٌ۟
37,2,30,"Hani Rabbin meleklere ""Ben yeryüzünde bir halife (sorumlu) görevlendireceğim""[1] demişti. Onlar ""Biz seni hamdinle (övgüyle) tesbih ediyor (yüceltiyor) ve kutsallıkla anıyorken,[2] yeryüzünde bozgunculuk çıkarmakta ve kan dökmekte olanı (insanı) mı halife görevlendiriyorsun?"" demişlerdi. (Allah da onlara): ""Şüphesiz ki sizin bilemeyeceğiniz şeyleri ben bilirim."" demişti.",Mehmet Okuyan,وَاِذْ قَالَ رَبُّكَ لِلْمَلٰٓئِكَةِ اِنّ۪ي جَاعِلٌ فِي الْاَرْضِ خَل۪يفَةًۜ  قَالُٓوا اَتَجْعَلُ ف۪يهَا مَنْ يُفْسِدُ ف۪يهَا وَيَسْفِكُ الدِّمَٓاءَۚ وَنَحْنُ نُسَبِّحُ بِحَمْدِكَ وَنُقَدِّسُ لَكَۜ قَالَ اِنّ۪ٓي اَعْلَمُ مَا لَا تَعْلَمُونَ
38,2,31,"(Allah) Âdem'e bütün isimleri öğretmiş, sonra onları meleklere yöneltip ""Doğruysanız şunların isimlerini bana bildirin."" demişti.",Mehmet Okuyan,وَعَلَّمَ اٰدَمَ الْاَسْمَٓاءَ كُلَّهَا ثُمَّ عَرَضَهُمْ عَلَى الْمَلٰٓئِكَةِ فَقَالَ اَنْبِؤُ۫ن۪ي بِاَسْمَٓاءِ هٰٓؤُ۬لَٓاءِ اِنْ كُنْتُمْ صَادِق۪ينَ
39,2,32,"(Melekler): ""Sen yücesin; bize öğrettiklerinden başka bilgimiz yoktur. Yalnızca sen bilensin; doğru hüküm verensin."" demişlerdi.",Mehmet Okuyan,قَالُوا سُبْحَانَكَ لَا عِلْمَ لَنَٓا اِلَّا مَا عَلَّمْتَنَاۜ اِنَّكَ اَنْتَ الْعَل۪يمُ الْحَك۪يمُ
40,2,33,"(Allah:) ""Ey Âdem! Onların (eşyanın) isimlerini onlara (meleklere) bildir."" demiş, (Âdem) isimlerini kendilerine bildirince ""Ben size, şüphesiz ki göklerin ve yerin gaybını (bilinemeyenini) bilirim; açıkladıklarınızı da gizlemiş olduklarınızı da bilirim' dememiş miydim?"" demişti.",Mehmet Okuyan,قَالَ يَٓا اٰدَمُ اَنْبِئْهُمْ بِاَسْمَٓائِهِمْۚ فَلَمَّٓا اَنْبَاَهُمْ بِاَسْمَٓائِهِمْۙ قَالَ اَلَمْ اَقُلْ لَكُمْ اِنّ۪ٓي اَعْلَمُ غَيْبَ السَّمٰوَاتِ وَالْاَرْضِ وَاَعْلَمُ مَا تُبْدُونَ وَمَا كُنْتُمْ تَكْتُمُونَ
41,2,34,"Hani meleklere ""Âdem için (Allah'a) secde edin."" demiştik; onlar da hemen secde etmişti. İblis hariç.[1] Yüz çevirmiş, kibirlenmiş, kâfirlerden olmuştu.",Mehmet Okuyan,وَاِذْ قُلْنَا لِلْمَلٰٓئِكَةِ اسْجُدُوا لِاٰدَمَ فَسَجَدُٓوا اِلَّٓا اِبْل۪يسَۜ اَبٰى وَاسْتَكْبَرَ وَكَانَ مِنَ الْكَافِر۪ينَ
42,2,35,"Şöyle demiştik: ""Ey Âdem! Sen ve eşin şu bahçeye[1] yerleşip, dilediğiniz yerden bolca yiyin! Şu ağaca yaklaşmayın; yoksa kaybedenlerden olursunuz.""",Mehmet Okuyan,وَقُلْنَا يَٓا اٰدَمُ اسْكُنْ اَنْتَ وَزَوْجُكَ الْجَنَّةَ وَكُلَا مِنْهَا رَغَداً حَيْثُ شِئْتُمَاۖ وَلَا تَقْرَبَا هٰذِهِ الشَّجَرَةَ فَتَكُونَا مِنَ الظَّالِم۪ينَ
43,2,36,"(Ağaçtan yiyince) Şeytan onları(n ayaklarını) kaydırıp bulundukları yerden onları çıkarmıştı (çıkarılmalarına sebep olmuştu). (Bunun üzerine) ""Bir kısmınız diğerine düşman olarak inin![1] Sizin için yeryüzünde (bahçe dışında) belirli bir süre kalma ve geçim imkânları vardır."" demiştik.",Mehmet Okuyan,فَاَزَلَّهُمَا الشَّيْطَانُ عَنْهَا فَاَخْرَجَهُمَا مِمَّا كَانَا ف۪يهِۖ وَقُلْنَا اهْبِطُوا بَعْضُكُمْ لِبَعْضٍ عَدُوٌّۚ وَلَكُمْ فِي الْاَرْضِ مُسْتَقَرٌّ وَمَتَاعٌ اِلٰى ح۪ينٍ
44,2,37,"Âdem, Rabbinden birtakım (öğretici) sözler almıştı[1] ve (Rabbi de) tevbesini kabul etmişti. Şüphesiz ki yalnızca O, tevbeleri çok kabul edendir, çok merhametlidir.",Mehmet Okuyan,فَتَلَقّٰٓى اٰدَمُ مِنْ رَبِّه۪ كَلِمَاتٍ فَتَابَ عَلَيْهِۜ اِنَّهُ هُوَ التَّوَّابُ الرَّح۪يمُ
45,2,38,"(Onlara) şöyle demiştik: ""Hepiniz oradan (o bahçeden) inin![1] Benden size bir hidayet gelir de kim hidayetime uyarsa onlar için herhangi bir korku yoktur ve onlar üzülmeyecek de.[2]",Mehmet Okuyan,قُلْنَا اهْبِطُوا مِنْهَا جَم۪يعاًۚ فَاِمَّا يَأْتِيَنَّكُمْ مِنّ۪ي هُدًى فَمَنْ تَبِعَ هُدَايَ فَلَا خَوْفٌ عَلَيْهِمْ وَلَا هُمْ يَحْزَنُونَ
46,2,39,"İnkâr edip ayetlerimizi yalanlayanlara gelince, onlar ateş halkıdır; onlar orada ebedî kalıcıdır.""[1]",Mehmet Okuyan,وَالَّذ۪ينَ كَفَرُوا وَكَذَّبُوا بِاٰيَاتِنَٓا اُو۬لٰٓئِكَ اَصْحَابُ النَّارِۚ هُمْ ف۪يهَا خَالِدُونَ۟
47,2,40,Ey İsrailoğulları! Size vermiş olduğum nimet(ler)imi hatırlayın! Bana verdiğiniz sözü yerine getirin ki ben de size vadettiklerimi vereyim. Yalnızca benden korkun![1],Mehmet Okuyan,يَا بَن۪ٓي اِسْرَٓائ۪لَ اذْكُرُوا نِعْمَتِيَ الَّت۪ٓي اَنْعَمْتُ عَلَيْكُمْ وَاَوْفُوا بِعَهْد۪ٓي اُو۫فِ بِعَهْدِكُمْ وَاِيَّايَ فَارْهَبُونِ
48,2,41,Elinizdekini (Tevrat'ın aslını) doğrulayıcı olarak indirdiğime (Kur'an'a) iman edin! Sakın onu inkâr eden(ler)in öncüsü olmayın! Ayetlerimi az bir değer karşılığında satmayın! Yalnız bana karşı takvâlı (duyarlı) olun!,Mehmet Okuyan,وَاٰمِنُوا بِمَٓا اَنْزَلْتُ مُصَدِّقاً لِمَا مَعَكُمْ وَلَا تَكُونُٓوا اَوَّلَ  كَافِرٍ بِه۪ۖ وَلَا تَشْتَرُوا بِاٰيَات۪ي ثَمَناً قَل۪يلاًۘ وَاِيَّايَ فَاتَّقُونِ
49,2,42,"Bilerek gerçeği batılla karıştırmayın, gerçeği gizlemeyin![1]",Mehmet Okuyan,وَلَا تَلْبِسُوا الْحَقَّ بِالْبَاطِلِ وَتَكْتُمُوا الْحَقَّ وَاَنْتُمْ تَعْلَمُونَ
50,2,43,"Namazı kılın, zekâtı verin; boyun eğenlerle birlikte boyun eğin!",Mehmet Okuyan,وَاَق۪يمُوا الصَّلٰوةَ وَاٰتُوا الزَّكٰوةَ وَارْكَعُوا مَعَ الرَّاكِع۪ينَ
51,2,44,(Ey İsrailoğulları)! Kitab'ı (Tevrat'ı) tilavet ettiğiniz (okuyup aktardığınız) hâlde kendinizi unutup iyiliği (başka) insanlara mı emrediyorsunuz![1] Akıl etmiyor musunuz?,Mehmet Okuyan,اَتَأْمُرُونَ النَّاسَ بِالْبِرِّ وَتَنْسَوْنَ اَنْفُسَكُمْ وَاَنْتُمْ تَتْلُونَ الْكِتَابَۜ اَفَلَا تَعْقِلُونَ
52,2,45,"Sabır ve salât[1] (fedakârlık) ile (Allah'tan) yardım isteyin! Şüphesiz ki o (sabır ve fedakârlık), saygı duyanlar dışındakilere ağır gelir.",Mehmet Okuyan,وَاسْتَع۪ينُوا بِالصَّبْرِ وَالصَّلٰوةِۜ وَاِنَّهَا لَكَب۪يرَةٌ اِلَّا عَلَى الْخَاشِع۪ينَۙ
53,2,46,"Onlar, Rablerine kavuşacaklarına ve O'na döneceklerine kesin olarak iman eden kişilerdir.",Mehmet Okuyan,اَلَّذ۪ينَ يَظُنُّونَ اَنَّهُمْ مُلَاقُوا رَبِّهِمْ وَاَنَّهُمْ اِلَيْهِ رَاجِعُونَ۟
54,2,47,Ey İsrailoğulları! Size vermiş olduğum nimet(ler)imi ve sizi (bir zamanlar) âlemlere (inançsızlara)[1] üstün kıldığımı hatırlayın!,Mehmet Okuyan,يَا بَن۪ٓي اِسْرَٓائ۪لَ اذْكُرُوا نِعْمَتِيَ الَّت۪ٓي اَنْعَمْتُ عَلَيْكُمْ وَاَنّ۪ي فَضَّلْتُكُمْ عَلَى الْعَالَم۪ينَ
55,2,48,"Öyle bir güne karşı takvâlı (duyarlı) olun ki (o gün) kimse, kimseden hiçbir şey gideremez; onlardan şefaat kabul edilmez;[1] kendilerinden fidye alınmaz;[2]onlara yardım da edilmez.[3]",Mehmet Okuyan,وَاتَّقُوا يَوْماً لَا تَجْز۪ي نَفْسٌ عَنْ نَفْسٍ شَيْـٔاً وَلَا يُقْبَلُ مِنْهَا شَفَاعَةٌ وَلَا يُؤْخَذُ مِنْهَا عَدْلٌ وَلَا هُمْ يُنْصَرُونَ
56,2,49,"Hani sizi işkencenin en kötüsüne süren ve oğullarınızı kestirip, kadınlarınızı sağ bırakmakta olan Firavun ailesinden kurtarmıştık. İşte bunda (size anlatılanlarda), Rabbinizden büyük bir imtihan vardır.[1]",Mehmet Okuyan,وَاِذْ نَجَّيْنَاكُمْ مِنْ اٰلِ فِرْعَوْنَ يَسُومُونَكُمْ سُٓوءَ الْعَذَابِ يُذَبِّحُونَ اَبْنَٓاءَكُمْ وَيَسْتَحْيُونَ نِسَٓاءَكُمْۜ وَف۪ي ذٰلِكُمْ بَلَٓاءٌ مِنْ رَبِّكُمْ عَظ۪يمٌ
57,2,50,"Hani biz sizin için denizi yarmıştık; sizi kurtarmış, Firavun'un ailesini (destekçilerini) de siz bakıyorken (denizde) boğmuştuk.",Mehmet Okuyan,وَاِذْ فَرَقْنَا بِكُمُ الْبَحْرَ فَاَنْجَيْنَاكُمْ وَاَغْرَقْـنَٓا اٰلَ فِرْعَوْنَ وَاَنْتُمْ تَنْظُرُونَ
58,2,51,"Hani (kendisine vahyetmek üzere) Musa ile kırk gece için sözleşmiştik.[1] Sonra onun ardından, zalimler olarak buzağıyı (ilah) edinmiştiniz.[2]",Mehmet Okuyan,وَاِذْ وٰعَدْنَا مُوسٰٓى اَرْبَع۪ينَ لَيْلَةً ثُمَّ اتَّخَذْتُمُ الْعِجْلَ مِنْ بَعْدِه۪ وَاَنْتُمْ ظَالِمُونَ
59,2,52,Sonra onun ardından şükredersiniz diye sizi affetmiştik.,Mehmet Okuyan,ثُمَّ عَفَوْنَا عَنْكُمْ مِنْ بَعْدِ ذٰلِكَ لَعَلَّكُمْ تَشْكُرُونَ
60,2,53,Hani doğru yolu bulasınız diye Musa'ya Kitabı ve furkânı[1] (doğruyu yanlıştan ayırma yeteneği) vermiştik.,Mehmet Okuyan,وَاِذْ اٰتَيْنَا مُوسَى الْكِتَابَ وَالْفُرْقَانَ لَعَلَّكُمْ تَهْتَدُونَ
