kelime,arapca_harfler,anlam
acâib,ﺐﺋﺎﺠﻋ,"tuhaf, ilginç, acaip."
acâleten,ﺔﻝﺎﺠﻋ,alelacele.
aceb,ﺐﺠﻋ,1.tuhaflık. 2.acaba.
acebâ,ﺎﺒﺠﻋ,acaba.
acele,ﻪﻠﺠﻋ,acele.
aceleten,ﺔﻠﺠﻋ,"çarçabuk, alelacele."
acem,ﻢﺠﻋ,"1.arap olmayan. 2.İranlı, acem."
acemaşîran,ناﺮﻴﺸﻋ ﻢﺠﻋ,Türk mûsikisinde bir makam.
acemî,ﯽﻤﺠﻋ,"1.deneyimsiz, acemi. 2.İranlı."
aceze,ﻩﺰﺠﻋ,"düşkünler, âcizler."
acîb,ﺐﻴﺠﻋ,"tuhaf, acayip, ilginç."
acîbe,ﻪﺒﻴﺠﻋ,şaşılacak şey.
âcil,ﻞﺝﺎﻋ,acil.
âcilen,ﻼﺝﺎﻋ,"derhal, acil olarak."
acîn,ﻦﻴﺠﻋ,"macun, yoğurulmuş."
âciz,ﺰﺝﺎﻋ,1.aciz. 2.ben.
âciziyyet,ﺖیﺰﺝﺎﻋ,acizlik.
acûl,لﻮﺠﻋ,aceleci.
acûz,زﻮﺠﻋ,1.kocakarı. 2.cadı.
acûze,ﻩزﻮﺠﻋ,1.kocakarı. 2.cadı.
acz,ﺰﺠﻋ,"acizlik, çaresizlik, bir şey yapamama."
âdâb,بادﺁ,"1.edepler, terbiyeler. 2.yol yordam."
adalât,تﻼﻀﻋ,kaslar.
adale,ﻪﻠﻀﻋ,1.kas. 2.kaslar.
adâlet,ﺖﻝاﺪﻋ,adalet.
âdât,تادﺎﻋ,"âdetler, alışkanlıklar."
adâvet,تواﺪﻋ,düşmanlık.
add,ﺪﻋ,"sayma, görme, değerlendirme, kabul etme."
aded,دﺪﻋ,sayı.
adeden,ادﺪﻋ,sayıca.
adedî,یدﺪﻋ,sayısal.
âdem,مدﺁ,"1.ilk insan, Adem Peygamber. 2.insan, adam."
adem,مﺪﻋ,"yokluk, bulunmama, adem."
âdemiyyet,ﺖﻴﻡدﺁ,1.insanlık. 2.adamlık.
ades,سﺪﻋ,mercimek.
adese,ﻪﺱﺪﻋ,mercek.
âdet,تدﺎﻋ,"alışkanlık, âdet."
âdeta,ﺎﺕدﺎﻋ,basbayağı.
âdeten,ﺎﺕﺪﻋ,"âdet olarak, geleneklere göre."
adhâ,ﯽﺤﺽا,kurbanlar.
âdi,یدﺎﻋ,"sıradan, âdi, değersiz."
adîd,ﺪیﺪﻋ,birçok.
adîde,ﻩﺪیﺪﻋ,birçok.
âdil,لدﺎﻋ,adaletli.
adîl,ﻞیﺪﻋ,"eşit, denk."
adîm,ﻢیﺪﻋ,yok olan.
adîmülimkân,نﺎﮑﻡﻻا ﻢیﺪﻋ,imkânsız.
âdiye,ﻪیدﺎﻋ,"alışılmış, sıradan."
adl,لﺪﻋ,adalet.
adlî,ﯽﻝﺪﻋ,adalet ile ilgili.
adliyye,ﻪﻴﻝﺪﻋ,"mahkeme, adliye."
adn,نﺪﻋ,cennet.
adû,وﺪﻋ,düşman.
âfâk,قﺎﻓﺁ,ufuklar.
âfâkî,ﯽﻗﺎﻓﺁ,1.nesnel. 2.şuradan buradan konuşma.
âfât,تﺎﻓﺁ,"afetler, belalar."
âfet,ﺖﻓﺁ,"1.afet, bela, felaket. 2.güzel sevgili."
afîf,ﻒﻴﻔﻋ,iffetli.
âfil,ﻞﻓﺁ,1.batan. 2.görünmez olan.
âfiyet,ﺖﻴﻓﺎﻋ,esenlik.
afrika,ﺎﻘیﺮﻓا,Afrika kıtası.
afv,ﻮﻔﻋ,"bağışlama, af."
âgûş,شﻮﻏﺁ,kucak.
ağbiyâ,ﺎﻴﺒﻏا,kalın kafalılar.
ağlâl,لﻼﻏا,1.boyunduruklar. 2.zincirler.
ağlât,طﻼﻏا,hatalar.
ağleb [,لﺎﻤﺘﺣا ﺐﻠﻏا,"çoğunlukla, genellikle, sık sık."
ağnâ,ﯽﻨﻏا,en zengin.
ağnâm,مﺎﻨﻏا,koyunlar.
ağniyâ,ﺎﻴﻨﻏا,zenginler.
ağniye,ﻪﻴﻨﻏا,şarkılar.
ağrâs,ساﺮﻏا,fidanlar.
ağrâz,ضاﺮﻏا,maksatlar.
ağsân,نﺎﺼﻏا,dallar.
ağşiye,ﻪﻴﺸﻏا,1.perdeler. 2.zarlar.
ağyâr,رﺎﻴﻏا,yabancılar.
ah,خا,1.kardeş. 2.dost.
âhâd,دﺎﺣﺁ,birler.
ahad,ﺪﺣا,bir.
ahali,ﯽﻝﺎها,"halk, ahali, insan topluluğu."
ahavât,تاﻮﺧا,kızkardeşler.
ahbâb,بﺎﺒﺣا,1.dostlar. 2.dost.
ahbap,بﺎﺒﺣا,"dostlar, sevdikler."
ahbâr,رﺎﺒﺧا,haberler.
ahcâr,رﺎﺠﺣا,taşlar.
ahd,ﺪﻬﻋ,"1.yemin, and. 2.çağ, devir. 3.söz verme."
ahdar,ﺮﻀﺣا,yemyeşil.
ahdâs,ثاﺪﺣا,1.yeni olaylar. 2.dertler. 3.gençler.
ahdeb,بﺪﺣا,kambur.
âher,ﺮﺧﺁ,"başka, diğer."
ahfâ,ﺎﻔﺧا,en gizli.
ahfâd,دﺎﻔﺣا,torunlar.
ahibbâ,ﺎﺒﺣا,"dostlar, sevilenler; sevgililer."
ahid,ﺪﻬﻋ,"söz, yemin."
ahîr,ﺮﺧﺁ,"son, en son."
âhire,ﻩﺮﺧﺁ,son.
ahîren,اﺮﻴﺧا,"geçenlerde, son zamanlarda, son olarak."
âhiret,تﺮﺧﺁ,öbür dünya.
âhirülemr,ﺮﻡﻻاﺮﺧﺁ,"sonunda, işin sonunda."
âhiz,ﺬﺧﺁ,alan.
ahize,ﻩﺬﺧﺁ,alıcı gereç.
ahkâm,مﺎﮑﺣا,hükümler.
ahlâf,فﻼﺧا,halefler.
ahlâk,قﻼﺧا,"huy, ahlak."
ahlâken,ﺎﻗﻼﺧا,ahlakça.
ahlâkiyat,تﺎﻴﻗﻼﺧا,ahlak bilgisi.
ahlâkiyûn,نﻮﻴﻗﻼﺧا,ahlakçılar.
ahlâm,مﻼﺣا,1.karmakarışık rüyalar. 2.düşazmalar.
ahlât,طﻼﺧا,salgılar.
ahmak,ﻖﻤﺣا,"budala, aptal, ahmak."
ahmer,ﺮﻤﺣا,"kırmızı, kızıl."
ahrâm,ماﺮﺣا,"1.kutsal yerler. 2.haremler. 3.hanımlar, eşler."
ahrâr,راﺮﺣا,özgürler.
ahrâs,ساﺮﺣا,"koruyucular, muhafızlar."
ahret,تﺮﺧﺁ,"öbür dünya, ahiret."
ahsâs,سﺎﺴﺣا,duygular.
ahsen,ﻦﺴﺣا,en güzel.
ahşâ’,ءﺎﺸﺣا,"1.iç organlar, 2.bölgeler, yöreler."
ahşâm,مﺎﺸﺣا,maiyet.
ahtâb,بﺎﻄﺣا,odunlar.
ahtâr,رﺎﻄﺧا,tehlikeler.
ahu,ﻮﺧا,kardeş.
ahvâl,لاﻮﺣا,"haller, durumlar."
ahvef,فﻮﺧا,en korkunç.
ahvel,لﻮﺣا,şaşı.
ahyâ,ﺎﻴﺣا,diriler.
ahyâl,لﺎﻴﺧا,yılkılar.
ahyânen,ﺎﻥﺎﻴﺣا,"arasıra, kimi zaman."
ahyâr,رﺎﻴﺧا,iyiler.
ahyât,طﺎﻴﺧا,iplikler.
ahz,ﺬﺧا,alma.
ahzâb,باﺰﺣا,1.kütleler. 2.partiler. 3.Ahzâb sûresi.
ahzân,ناﺰﺣا,hüzünler.
ahzar,ﺮﻀﺧا,yeşil.
ahzen,نﺰﺣا,çok hüzünlü.
ahzüi’tâ,ﺎﻄﻋ و ﺬﺧا,alış veriş.
ahzükabz,ﺾﺒﻗ و ﺬﺧا,alıp sahip çıkma.
âid,ﺪﺋﺎﻋ,"1.ait, ilişkin. 2.geri dönen."
âidât,تاﺪﺋﺎﻋ,"gelirler, aidat."
âide,ﻩﺪﺋﺎﻋ,"kâr, kazanç, gelir."
âika,ﻪﻘﺋﺎﻋ,engel.
âile,ﻪﻠﺋﺎﻋ,"1.aile. 2.eş, karı."
ailevî,یﻮﻠﺋﺎﻋ,aile ile ilgili.
âk,قﺎﻋ,serkeş.
akab,ﺐﻘﻋ,"1.arka, art. 2.topuk, ökçe."
akabât,تﺎﺒﻘﻋ,1.yokuşlar. 2.tehlikeli anlar.
akabe,ﻪﺒﻘﻋ,1.geçilmesi güç geçit. 2.yokuş.
akâid,ﺪﺋﺎﻘﻋ,"inançlar, akideler."
akâmet,ﺖﻡﺎﻘﻋ,"1.verimsizlik, durgunlaştırma, aksatma. 2.kısırlık."
akar,رﺎﻘﻋ,kazanç sağlayan mülk.
akarât,تاﺮﻘﻋ,"kazanç sağlayan mülkler, akarlar."
akbeh,ﺢﺒﻗا,çok çirkin.
akd,ﺪﻘﻋ,"1.düğümleme, bağlama. 2.nikah. 3.kararlaştırma. 4.kurma."
akdâh,حاﺪﻗا,kadehler.
akdâm,ماﺪﻗا,ayaklar.
akdem,مﺪﻗا,"önce, önceki."
akdes,سﺪﻗا,en kutsal.
akıbet,ﺖﺒﻗﺎﻋ,son.
âkıbetülemr,ﺮﻡﻻا ﺖﺒﻗﺎﻋ,sonunda.
âkıl,ﻞﻗﺎﻋ,"akıllı, akıl sahibi."
akıl,ﻞﻘﻋ,akıl.
âkıle,ﻪﻠﻗﺎﻋ,akıllı kadın.
âkır,ﺮﻗﺎﻋ,1.kısır. 2.verimsiz.
âkid,ﺪﻗﺎﻋ,akit yapan.
akîde,ﻩﺪﻴﻘﻋ,"inanç, akide."
akîk,ﻖﻴﻘﻋ,akik taşı.
âkil,ﻞﮐﺁ,yiyen.
akîm,ﻢﻴﻘﻋ,1.kısır. 2.sonuçsuz.
akis,ﺲﮑﻋ,"yansıma, aksetme, akis."
akl,ﻞﻘﻋ,akıl.
aklâm,مﻼﻗا,1.kalemler. 2.yazı gereçleri. 3.devlet daireleri.
aklen,ﻼﻗا,akılca.
aklî,ﯽﻠﻘﻋ,"akılca, akıl bakımından, rasyonel."
akliyye,ﻪﻴﻠﻘﻋ,"akılcılık, rasyonalizm."
akliyyûn,نﻮﻴﻠﻘﻋ,"akılcılar, rasyonalistler."
akm,ﻢﻘﻋ,kısırlık.
akmâr,رﺎﻤﻗا,aylar.
akmişe,ﻪﺸﻤﻗا,kumaşlar.
akrabâ,ءﺎﺑﺮﻗا,"akraba, yakınlar."
akran,ناﺮﻗا,yaşıtlar.
akreb,بﺮﻗا,en yakın.
akreb,بﺮﻘﻋ,1.akrep. 2.saat ibresi.
aks,ﺲﮑﻋ,"yansıma, akis."
aksâ,ﯽﺼﻗا,"uzak, en son."
aksâm,مﺎﺴﻗا,"kısımlar, bölümler."
akser,ﺮﺼﻗا,en kısa.
aksî,ﯽﺴﮑﻋ,"1.inatçı. 2.ters, zıt. 3.huysuz."
aksülamel,ﻞﻤﻌﻝا ﺲﮑﻋ,"tepki, reaksiyon."
aktâb,بﺎﻄﻗا,1.kutuplar. 2.azizler. 3.efendiler.
aktâr,رﺎﻄﻗا,"taraflar, yöreler."
akûr,رﻮﻘﻋ,"azgın, kudurmuş, saldırgan."
akvâl,لاﻮﻗا,sözler.
akvâm,ماﻮﻗا,kavimler.
akviyâ,ﺎیﻮﻗا,kuvvetliler.
âl,لﺁ,1.aile. 2.sülale. 3.evlat.
âl,لﺎﻋ,"yüce, yüksek."
alâ,ءﻼﻋ,"yücelik, şeref."
alâ,ﯽﻠﻋ,"üst, üstü, üzeri."
alâeyyihâl,لﺎﺣ یا ﯽﻠﻋ,her nasıl olsa.
âlâf,فﻻﺁ,binler.
alâhide,ﻩﺪﺤﻴﻠﻋ,"tek başına, başlı başına."
alâik,ﻖﺋﻼﻋ,"alakalar, ilgiler."
alâim,,"işaretler, alametler."
alak,ﻖﻠﻋ,1.kan pıhtısı. 2.sülük.
alâka,ﻪﻗﻼﻋ,"ilgi, alaka."
alâkadrilimkân,نﺎﮑﻡﻻارﺪﻗﻼﻋ,olabildiğince.
âlâm,مﻻﺁ,"elemler, acılar."
alâmât,تﺎﻡﻼﻋ,"işaretler, alametler."
alâmet,ﺖﻡﻼﻋ,"işaret, iz, alamet, belirti. 2.çok iri."
âlât,تﻻﺁ,aletler.
alâvechi,ﻪﺝو ﯽﻠِﻋ,üzere.
alâvefk,ﻖﻓو ﯽﻠﻋ,uygun olarak.
aleddevam,ماوﺪﻝا ﯽﻠﻋ,sürekli.
alef,ﻒﻠﻋ,1.ot. 2.hayvan yemi.
aleka,ﻪﻘﻠﻋ,1.kan pıhtısı. 2.balçık.
alelacele,ﻪﻠﺠﻌﻝا ﯽﻠﻋ,çarçabuk.
alelâde,ﻩدﺎﻌﻝا ﯽﻠﻋ,"sıradan, bayağı."
alelamyâ,ﺎﻴﻤﻌﻝا ﯽﻠﻋ,körükörüne.
alelekser,ﺮﺜﮐﻻا ﯽﻠﻋ,çok defa.
alelhusûs,صﻮﺼﺨﻝا ﯽﻠﻋ,özellikle.
alelıtlâk,قﻼﻃﻻا ﯽﻠﻋ,1.genellikle. 2.rastgele.
alelicmâl,لﺎﻤﺝﻻا ﯽﻠﻋ,topluca.
alelinfirâd,داﺮﻔﻥﻻا ﯽﻠﻋ,birer birer.
alelistimrâr,راﺮﻤﺘﺱﻻا ﯽﻠﻋ,"sürekli, aralıksız."
aleliştirâk,کاﺮﺘﺵﻻا ﯽﻠﻋ,ortaklaşa.
alelkifâye,ﻪیﺎﻔﮑﻝا ﯽﻠﻋ,yeterince.
alelumûm,مﻮﻤﻌﻝا ﯽﻠﻋ,"genellikle, genelde, genel olarak."
âlem,ﻢﻝﺎﻋ,dünya; evren.
alem,ﻢﻠﻋ,"1.sancak. 2.alem. 3.nişan, alamet."
âlemşümûl,لﻮﻤﺵ ﻢﻠﻋ,dünyayı kaplayan.
alenen,ﺎﻨﻠﻋ,açıkça.
alenî,ﯽﻨﻠﻋ,"açık, aşikâr."
âlet,ﺖﻝﺁ,"1.araç, alet. 2.aygıt."
alettafsîl,ﻞﻴﺼﻔﺘﻝا ﯽﻠﻋ,ayrıntılı olarak.
alettevâlî,ﯽﻝاﻮﺘﻝا ﯽﻠﻋ,peşpeşe.
aleyh,ﻪﻴﻠﻋ,"karşı, karşıt; üzerine."
aleyhisselâm,مﻼﺴﻝا ﻪﻴﻠﻋ,selam onun üzerine olsun.
âlî,ﯽﻝﺎﻋ,yüce; yüksek.
âlîcenâb,بﺎﻨﺝ ﯽﻝﺎﻋ,1.cömert. 2.haysiyetli.
âlihe,ﻪﻬﻝﺁ,ilahlar.
âlîhimmet,ﺖﻤه ﯽﻝﺎﻋ,yüce himmetli.
âlîkadr,رﺪﻗ ﯽﻝﺎﻋ,saygıdeğer.
alîl,ﻞﻴﻠﻋ,"1.hasta, hastalıklı, illetli. 2.sakat."
âlim,ﻢﻝﺎﻋ,bilgin.
alîm,ﻢﻴﻠﻋ,çok bilen.
âlîmakâm,مﺎﻘﻡ ﯽﻝﺎﻋ,yüksek makamlı.
âlînazar,ﺮﻈﻥ ﯽﻝﺎﻋ,yüksek görüşlü.
âlîşan,نﺎﺵ ﯽﻝﺎﻋ,şanı yüce.
âliye,ﻪﻴﻝﺎﻋ,"yüce, yüksek."
aliyyülâlâ,ﻼﻋﻻا ﯽﻠﻋ,en iyisi.
Allâh,ﷲا,"Tanrı, Allah."
allâme,ﻪﻡﻼﻋ,büyük bilgin.
a'mâl,لﺎﻤﻋا,"davranışlar, ameller."
âmâl,لﺎﻡﺁ,emeller.
âmâl,لﺎﻡﺁ,emeller.
amd,ﺪﻤﻋ,kasıt.
amden,اﺪﻤﻋ,kasıtlı olarak.
amel,ﻞﻤﻋ,1.iş. 2.ishal.
amele,ﻪﻠﻤﻋ,işçi.
amelen,ﻼﻤﻋ,"bilfiil, işleyerek."
amelî,ﯽﻠﻤﻋ,"pratik, uygulamalı."
ameliyât,تﺎﻴﻠﻤﻋ,"1.işlemler, uygulamalar. 2.ameliyat."
ameliye,ﻪﻴﻠﻤﻋ,"işlem, uygulama."
âmennâ,ﺎﻨﻡﺁ,"diyecek bir şey yok, inandık."
âmîhte,ﻪﺘﺨﻴﻡﺁ,"karışık, karışmış."
amîk,ﻖﻴﻤﻋ,derin.
âmil,ﻞﻡﺎﻋ,"1.yapan, işleyen. 2.faktör, etken. 3.vergi memuru. 4.vali."
amîm,ﻢﻴﻤﻋ,yaygın.
âmîn,ﻦﻡﺁ,amin.
âminen,ﺎﻨﻡﺁ,emin olarak.
âmir,ﺮﻡﺁ,emreden.
âmm,مﺎﻋ,"genel, yaygın."
âmm,مﺎﻋ,yıl.
amm,ﻢﻋ,amca.
ammâ,ﺎﻡا,ama.
ammâba’d,(ﺪﻌﺑﺎﻡا,maksada gelince.
amme,ﻪﻤﻋ,hala.
amûd,دﻮﻤﻋ,direk.
amûden,ادﻮﻤﻋ,dikine.
amûdî,یدﻮﻤﻋ,dikey.
ân,نﺁ,an.
an,ﻦﻋ,"–den, -dan."
an’anât,تﺎﻨﻌﻨﻋ,gelenekler.
an’ane,ﻪﻨﻌﻨﻋ,gelenek.
an’anevî,یﻮﻨﻌﻨﻋ,geleneksel.
anâsır,ﺮﺹﺎﻨﻋ,"unsurlar, elemanlar."
ânât,تﺎﻥﺁ,anlar.
anber,ﺮﺒﻨﻋ,amber.
andelîb,ﺐﻴﻝﺪﻨﻋ,bülbül.
anh,ﻪﻨﻋ,ondan.
anhâ,ﺎﻬﻨﻋ,ondan.
ânifen,ﺎﻔﻥﺁ,"1.az önce, demin. 2.yukarıda."
âniyen,ﺎﻴﻥﺁ,"bir anda, der hal, o anda."
ankâ,ﺎﻘﻨﻋ,"zümrütüanka,"
ankarîb,ﺐیﺮﻗ ﻦﻋ,"yakında, yakından, çok geçmeden."
ankasdin,ﺪﺼﻗ ﻦﻋ,"kasıtlı olarak, bile bile."
ankebût,تﻮﺒﮑﻨﻋ,örümcek.
ansamîmilkalb,ﺐﻠﻘﻝا ﻢﻴﻤﺹ ﻦﻋ,"içtenlikle, canügönülden."
anûd,دﻮﻨﻋ,inatçı.
âr,رﺎﻋ,"utanma, ar."
ar’ar,ﺮﻋﺮﻋ,1.anırma. 2.dikenli ardıç.
ârâ’,ءارﺁ,oylar.
arâ’is,ﺲﺋاﺮﻋ,gelinler.
arab,بﺮﻋ,arap
arabî,ﯽﺑﺮﻋ,arapça.
arak,قﺮﻋ,1.ter. 2.rakı.
arakıyye,ﻪﻴﻗﺮﻋ,derviş külahı.
araz,ضﺮﻋ,"1.işaret, belirti. 2.tesadüf."
arâzî,ﯽﺽارا,"yerler, arazi."
arbede,ﻩﺪﺑﺮﻋ,kavga.
arefe,ﻪﻓﺮﻋ,"arife, bayramdan önceki gün."
ârız,ضرﺎﻋ,1.yanak. 2.gelen. 3.engel.
ârızî,ﯽﺽرﺎﻋ,geçici.
ârî,یرﺎﻋ,"1.çıplak. 2.uzak, uzakta, soyutlanmış."
ârif,فرﺎﻋ,"bilen, arif, irfan sahibi."
âriyyet,ﺖیرﺎﻋ,ödünç.
arîz,ﺾیﺮﻋ,"geniş, genişlemesine."
arsa,ﻪﺹﺮﻋ,"yer, meydan."
arş,شﺮﻋ,1.gök. 2.taht. 3.çardak.
arşa,ﻪﺵﺮﻋ,güverte.
arûs,,gelin.
arz,ضرا,"1.yer. 2.dünya, yeryüzü."
arz,ضﺮﻋ,"1.genişlik, en. 2.enlem."
arz,ضﺮﻋ,"sunma, arzetme."
arzan,ﺎﺽرا,"enine, genişliğine."
arzıhâl,لﺎﺣ ضرا,dilekçe.
asâ,ﺎﺼﻋ,"1.değnek, sopa. 2.derviş değneği."
asab,ﺐﺼﻋ,sinir.
asabî,ﯽﺒﺼﻋ,sinirli.
asabiyülmizac,جاﺰﻤﻝا ﯽﺒﺼﻋ,asabî mizaçlı.
asabiyyet,ﺖﻴﺒﺼﻋ,sinirlilik.
âsaf,ﻒﺹﺁ,1.vezir. Hz. Süleyman’ın veziri.
asâkir,ﺮﮐﺎﺴﻋ,askerler.
asalet,ﺖﻝﺎﺹا,asillik.
asamm,ﻢﺹا,sağır.
âsâr,رﺎﺛﺁ,1.izler. 2.eserler.
asdika,ﺎﻗﺪﺹا,gerçek dostlar.
asel,ﻞﺴﻋ,bal.
ases,ﺲﺴﻋ,gece bekçisi.
asfer,ﺮﻔﺹا,1.sarı. 2.soluk benizli.
asgar,ﺮﻐﺹا,en küçük.
asgarî,یﺮﻐﺹا,en az.
ashâb,بﺎﺤﺹا,"1.dostlar, arkadaşlar. 2.sahipler."
âsım,ﻢﺹﺎﻋ,1.günahtan sakınan. 2.iffetli.
asır ba’de asır,ﺮﺼﻋ ﺪﻌﺑ ﺮﺼﻋ,"asırlarca, yüzyıllarca."
âsî,ﯽﺹﺎﻋ,1.isyancı. 2.günahkâr.
asîl,ﻞﻴﺹا,1.sağlam. 2.soylu.
asîr,ﺮﻴﺼﻋ,"özsuyu, usare."
asker,ﺮﮑﺴﻋ,"asker, er."
asl,ﻞﺹا,1.asıl. 2.kök. 3.gerçek.
asla,ﻼﺹا,hiçbir zaman.
aslî,ﯽﻠﺹا,asıl.
asnâm,مﺎﻨﺹا,1.putlar. 2.dilberler.
asr,ﺮﺼﻋ,1.yüzyıl. 2.ikindi vakti.
asrî,یﺮﺼﻋ,modern.
aşer,ﺮﺸﻋ,on.
aşere,ﻩﺮﺸﻋ,onlar.
âşık,ﻖﺵﺎﻋ,aşık.
âşir,ﺮﺵﺎﻋ,onuncu.
aşîr,ﺮﻴﺸﻋ,onda bir.
âşiren,اﺮﺵﺎﻋ,onuncusu.
aşk,ﻖﺸﻋ,[ﻖﺸﻋ] aşk.
aşre,ﻩﺮﺸﻋ,on.
âşûrâ,ارﻮﺵﺎﻋ,aşûre.
ât,تا,"çoğul eki -ler, -lar."
at’ime,ﻪﻤﻌﻃا,"taamlar, yiyecekler."
atâ,ءﺎﻄﻋ,"bağış, ihsan, bahşiş."
atâlet,ﺖﻝﺎﻄﻋ,1.durgunluk. 2.tembellik.
ataş,ﺶﻄﻋ,susuzluk.
atâyâ,ﺎیﺎﻄﻋ,"bağışlar, ihsanlar, bahşişler."
atebât,تﺎﺒﺘﻋ,"1.eşikler. 2.şiîlerin ziyaret yerleri Necef, Kerbela, Kâzımiye."
atebe,ﻪﺒﺘﻋ,eşik.
ateh,ﻪﺘﻋ,bunama.
atf,ﻒﻄﻋ,"1.eğme. 2.bağlaç. 3.çevirme,yöneltme."
atfen,ﺎﻔﻄﻋ,"atıfta bulunarak,"
âtıf,ﻒﻃﺎﻋ,1.şefkatli. 2.meyleden. 3.bağlayan.
âtıfet,ﺖﻔﻃﺎﻋ,şefkat gösterme.
âtıl,ﻞﻃﺎﻋ,1.yararsız. 2.tembel.
âtî,ﯽﺕﺁ,1.gelecek.
atîk,ﻖﻴﺘﻋ,"1.eski, antik. 2.asil. 3.özgür."
atîka,ﻪﻘﻴﺘﻋ,"1.eski, antik. 2.asil. 3.özgür."
atîkiyyât,تﺎﻴﻘﻴﺘﻋ,arkeoloji.
âtiye,ﻪﻴﺕﺁ,gelecek.
âtiyen,ﺎﻴﺕﺁ,1.gelecekte. 2.aşağıda görüleceği gibi.
âtiyülbeyân,نﺎﻴﺒﻝا ﯽﺕﺁ,aşağıda açıklanacak olan.
âtiyüzzikr,ﺮﮐﺬﻝا ﯽﺕﺁ,aşağıda zikredilecek olan.
atiyyât,تﺎﻴﻄﻋ,"bağışlar, ihsanlar."
atlas,ﺲﻠﻃا,"1.atlas kumaş. 2.büyük harita, dünya haritası."
atnâb,بﺎﻨﻃا,1.ipler. 2.çadır ipleri. 3.ağaç kökleri.
ats,ﺲﻄﻋ,"hapşırma, aksırma."
atse,ﻪﺴﻄﻋ,"hapşırık, aksırık."
atş,ﺶﻄﻋ,susuzluk.
atşân,نﺎﺸﻄﻋ,"susuz, susamış."
attar,رﺎﻄﻋ,"attar, baharatçı."
atûfet,ﺖﻓﻮﻄﻋ,şefkat.
avâid,ﺪﺋاﻮﻋ,gelirler.
avâkıb,ﺐﻗاﻮﻋ,1.sonuçlar. 2.sonlar.
avâlim,ﻢﻝاﻮﻋ,"âlemler, dünyalar."
avâm,ماﻮﻋ,halk tabakası.
avâmil,ﻞﻡاﻮﻋ,"1.etkenler, faktörler."
avân,ناوا,zaman.
avârız,ضراﻮﻋ,1.belalar. 2.engeller. 3.geçici vergi.
avârif,فراﻮﻋ,"bilginler, arifler."
avdet,تدﻮﻋ,geri dönüş.
avene,ﻪﻥﻮﻋ,"yardakçılar, avene."
avn,نﻮﻋ,yardım.
avrât,تارﻮﻋ,kadınlar.
avret,ترﻮﻋ,kadın.
ayân,نﺎﻴﻋ,"açık, belli, aşikâr."
ayâr,رﺎﻴﻋ,ayar.
âyât,تﺎیﺁ,ayetler.
ayb,ﺐﻴﻋ,ayıp.
âyet,ﺖیﺁ,1.ayet. 2.işaret.
ayn,ﻦﻴﻋ,1.göz. 2.tıpkı. 3.ayın harfi.
aynen,ﺎﻨﻴﻋ,"tıpkı, aynen, olduğu gibi."
ayniyye,ﻪﻴﻨﻴﻋ,1.taşınabilir değerli eşya. 2.göz hastalıkları bölümü.
ayniyyet,ﺖﻴﻨﻴﻋ,aynılık.
